DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-06-03;07:39;2023-06-03;07:41;;T09;DP;Flight Departed;QKL;2023-06-03;08:16;2023-06-03;08:19;;;LD;Flight Landed;2A;3531;TRN;LD;Flight Landed
XHJ;2023-06-03;09:39;2023-06-03;09:40;;T09;DP;Flight Departed;QKL;2023-06-03;10:15;2023-06-03;10:17;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-06-03;11:39;2023-06-03;11:42;;T09;DP;Flight Departed;QKL;2023-06-03;12:15;2023-06-03;12:16;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-06-03;13:39;2023-06-03;13:42;;T09;DP;Flight Departed;QKL;2023-06-03;14:15;2023-06-03;14:18;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-06-03;15:39;2023-06-03;15:40;;T09;DP;Flight Departed;QKL;2023-06-03;16:15;2023-06-03;16:15;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-06-03;17:39;2023-06-03;17:42;;T09;DP;Flight Departed;QKL;2023-06-03;18:15;2023-06-03;18:16;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
XHJ;2023-06-03;19:39;2023-06-03;19:53;;T09;DP;Flight Departed;QKL;2023-06-03;20:15;2023-06-03;20:31;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-06-03;06:40;2023-06-03;06:37;;;DP;Flight Departed;FRA;2023-06-03;07:45;2023-06-03;07:42;1;BSO;LD;Flight Landed;EN;8057;E95;LD;Flight Landed
INN;2023-06-03;08:25;2023-06-03;08:20;;001;DP;Flight Departed;VIE;2023-06-03;09:25;2023-06-03;09:11;3;ARS;LD;Flight Landed;OS;916;E95;LD;Flight Landed
INN;2023-06-03;10:30;2023-06-03;10:33;;;DP;Flight Departed;FRA;2023-06-03;11:35;2023-06-03;11:41;1;BSO;LD;Flight Landed;EN;8051;E95;LD;Flight Landed
INN;2023-06-03;14:00;2023-06-03;13:44;;001;DP;Flight Departed;VIE;2023-06-03;14:55;2023-06-03;14:35;3;F17A;LD;Flight Landed;OS;906;E95;LD;Flight Landed
INN;2023-06-03;14:45;2023-06-03;14:48;;;DP;Flight Departed;FRA;2023-06-03;15:50;2023-06-03;15:53;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-06-03;17:35;2023-06-03;18:01;;;DP;Flight Departed;PMI;2023-06-03;19:35;2023-06-03;20:05;;;LD;Flight Landed;E6;5648;320;LD;Flight Landed
INN;2023-06-03;18:50;2023-06-03;18:48;;001;DP;Flight Departed;VIE;2023-06-03;19:50;2023-06-03;19:39;3;F37A;LD;Flight Landed;OS;902;E95;LD;Flight Landed
RNS;2023-06-03;18:30;2023-06-03;18:23;;00B;DP;Flight Departed;FRA;2023-06-03;20:00;2023-06-03;19:37;1;Area A;LD;Flight Landed;CL;1067;CR9;LD;Flight Landed
SZG;2023-06-03;06:30;2023-06-03;06:25;;001;DP;Flight Departed;FRA;2023-06-03;07:35;2023-06-03;07:28;1;Area A;LD;Flight Landed;LH;1109;321;LD;Flight Landed
SZG;2023-06-03;07:15;2023-06-03;07:27;;;DP;Flight Departed;HAM;2023-06-03;08:35;2023-06-03;08:38;1;;LD;Flight Landed;E6;4344;31D;LD;Flight Landed
SZG;2023-06-03;08:10;2023-06-03;08:04;;;DP;Flight Departed;SKG;2023-06-03;11:05;2023-06-03;10:50;;;LD;Flight Landed;E6;4390;31D;LD;Flight Landed
SZG;2023-06-03;09:05;2023-06-03;09:18;;;DP;Flight Departed;DUS;2023-06-03;10:20;2023-06-03;10:28;;A40;LD;Flight Landed;E6;9717;31D;LD;Flight Landed
SZG;2023-06-03;10:50;2023-06-03;10:51;;010;DP;Flight Departed;FRA;2023-06-03;11:55;2023-06-03;11:52;1;Area A;LD;Flight Landed;LH;1103;319;LD;Flight Landed
SZG;2023-06-03;11:30;2023-06-03;11:35;;;DP;Flight Departed;RHO;2023-06-03;15:00;2023-06-03;15:13;1;;LD;Flight Landed;E6;4370;31D;LD;Flight Landed
SZG;2023-06-03;11:50;2023-06-03;11:50;;;DP;Flight Departed;PMI;2023-06-03;13:55;2023-06-03;13:53;;;LD;Flight Landed;E6;6821;320;LD;Flight Landed
SZG;2023-06-03;13:45;2023-06-03;13:42;;;DP;Flight Departed;LCA;2023-06-03;18:00;2023-06-03;17:59;;;LD;Flight Landed;E6;4310;31D;LD;Flight Landed
SZG;2023-06-03;14:45;2023-06-03;14:47;;004;DP;Flight Departed;FRA;2023-06-03;15:50;2023-06-03;15:50;1;Area A;LD;Flight Landed;LH;1105;319;LD;Flight Landed
SZG;2023-06-03;18:30;2023-06-03;18:38;;;DP;Flight Departed;OLB;2023-06-03;20:05;2023-06-03;20:02;;A03;LD;Flight Landed;E6;4362;31D;LD;Flight Landed
SZG;2023-06-03;18:30;2023-06-03;18:40;;010;DP;Flight Departed;FRA;2023-06-03;19:35;2023-06-03;19:46;1;A24;LD;Flight Landed;LH;1107;32M;LD;Flight Landed
CTA;2023-06-03;08:45;2023-06-03;09:04;;;DP;Flight Departed;ZRH;2023-06-03;10:55;2023-06-03;11:13;;;LD;Flight Landed;LX;399;32N;LD;Flight Landed
CTA;2023-06-03;09:35;2023-06-03;10:06;;007;DP;Flight Departed;HAM;2023-06-03;12:35;2023-06-03;12:56;1;;LD;Flight Landed;EW;7815;31D;LD;Flight Landed
CTA;2023-06-03;10:15;2023-06-03;10:33;;012;DP;Flight Departed;FRA;2023-06-03;12:55;2023-06-03;13:02;1;Area A;LD;Flight Landed;LH;307;321;LD;Flight Landed
CTA;2023-06-03;11:55;2023-06-03;12:02;;004;DP;Flight Departed;MUC;2023-06-03;14:05;2023-06-03;14:02;2;G04;LD;Flight Landed;LH;1907;32V;LD;Flight Landed
CTA;2023-06-03;13:30;2023-06-03;13:45;;004;DP;Flight Departed;STR;2023-06-03;15:50;2023-06-03;16:00;1;;LD;Flight Landed;EW;2819;31D;LD;Flight Landed
CTA;2023-06-03;14:45;2023-06-03;15:05;;;DP;Flight Departed;BRU;2023-06-03;17:35;2023-06-03;17:35;;;LD;Flight Landed;SN;3132;319;LD;Flight Landed
CTA;2023-06-03;17:05;2023-06-03;17:18;;013;DP;Flight Departed;FRA;2023-06-03;19:45;2023-06-03;19:49;1;Area A;LD;Flight Landed;LH;309;321;LD;Flight Landed
CTA;2023-06-03;17:30;2023-06-03;17:45;;011;DP;Flight Departed;DUS;2023-06-03;20:20;2023-06-03;20:30;;A40;LD;Flight Landed;X8;9815;320;LD;Flight Landed
CTA;2023-06-03;18:00;2023-06-03;18:00;;;DP;Flight Departed;VIE;2023-06-03;20:00;2023-06-03;19:55;3;ARS;LD;Flight Landed;OS;490;320;LD;Flight Landed
CTA;2023-06-03;18:40;2023-06-03;18:51;;012;DP;Flight Departed;MUC;2023-06-03;20:50;2023-06-03;21:00;2;G44;LD;Flight Landed;LH;1909;32A;LD;Flight Landed
CTA;2023-06-03;19:30;2023-06-03;19:42;;013;DP;Flight Departed;DTM;2023-06-03;22:15;2023-06-03;22:24;;;LD;Flight Landed;EW;4059;320;LD;Flight Landed
CTA;2023-06-03;21:40;2023-06-03;22:33;;007;DP;Flight Departed;CGN;2023-06-04;00:25;2023-06-04;01:09;1;B81;LD;Flight Landed;EW;817;32Z;LD;Flight Landed
NTE;2023-06-03;15:05;2023-06-03;15:09;;;DP;Flight Departed;ZRH;2023-06-03;16:40;2023-06-03;16:44;;;LD;Flight Landed;BT;571;223;LD;Flight Landed
NTE;2023-06-03;18:35;2023-06-03;18:41;;075;DP;Flight Departed;FRA;2023-06-03;20:10;2023-06-03;20:06;1;Area A;LD;Flight Landed;CL;1057;E90;LD;Flight Landed
SKP;2023-06-03;04:25;2023-06-03;04:20;;;DP;Flight Departed;VIE;2023-06-03;06:00;2023-06-03;05:50;3;ARN;LD;Flight Landed;OS;778;320;LD;Flight Landed
SKP;2023-06-03;07:00;2023-06-03;06:53;;202;DP;Flight Departed;FRA;2023-06-03;09:40;2023-06-03;09:18;1;Area A;LD;Flight Landed;LH;1543;319;LD;Flight Landed
SKP;2023-06-03;12:45;2023-06-03;13:17;;;DP;Flight Departed;VIE;2023-06-03;14:20;2023-06-03;14:49;3;G16A;LD;Flight Landed;OS;776;E95;LD;Flight Landed
SKP;2023-06-03;14:55;2023-06-03;15:06;;204;DP;Flight Departed;FRA;2023-06-03;17:35;2023-06-03;17:26;1;Z58A;LD;Flight Landed;LH;1541;319;LD;Flight Landed
SKP;2023-06-03;20:40;2023-06-03;20:30;;;DP;Flight Departed;ZRH;2023-06-03;22:45;2023-06-03;22:35;;;LD;Flight Landed;WK;439;320;LD;Flight Landed
ZTH;2023-06-03;14:30;2023-06-03;14:39;;;DP;Flight Departed;STR;2023-06-03;16:10;2023-06-03;16:19;1;;LD;Flight Landed;EW;2815;31D;LD;Flight Landed
ZTH;2023-06-03;15:05;2023-06-03;15:07;;;DP;Flight Departed;BER;2023-06-03;17:00;2023-06-03;16:44;1;A31;LD;Flight Landed;X8;8681;320;LD;Flight Landed
ZTH;2023-06-03;19:00;2023-06-03;19:00;;003;DP;Flight Departed;MUC;2023-06-03;20:25;2023-06-03;20:18;2;K09;LD;Flight Landed;LH;1763;32V;LD;Flight Landed
GWT;2023-06-03;08:30;2023-06-03;08:30;1;002;DP;Flight Departed;STR;2023-06-03;09:50;2023-06-03;09:52;1;;LD;Flight Landed;EW;2141;31D;LD;Flight Landed
GWT;2023-06-03;09:10;2023-06-03;09:19;;002;DP;Flight Departed;FRA;2023-06-03;10:30;2023-06-03;10:41;1;Area A;LD;Flight Landed;CL;223;E90;LD;Flight Landed
GWT;2023-06-03;09:40;2023-06-03;09:35;1;002;DP;Flight Departed;DUS;2023-06-03;10:50;2023-06-03;10:36;;A25;LD;Flight Landed;EW;9009;31B;LD;Flight Landed
GWT;2023-06-03;10:05;2023-06-03;10:05;;002;DP;Flight Departed;MUC;2023-06-03;11:30;2023-06-03;11:29;2;G16;LD;Flight Landed;LH;2185;319;LD;Flight Landed
GWT;2023-06-03;18:10;2023-06-03;18:04;;002;DP;Flight Departed;ZRH;2023-06-03;19:45;2023-06-03;19:36;;;LD;Flight Landed;2L;1031;290;LD;Flight Landed
WRO;2023-06-03;06:10;2023-06-03;05:58;;003;DP;Flight Departed;MUC;2023-06-03;07:20;2023-06-03;06:57;2;T02S;LD;Flight Landed;CL;1635;CR9;LD;Flight Landed
