DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-06-02;07:39;2023-06-02;07:49;;T09;DP;Flight Departed;QKL;2023-06-02;08:16;2023-06-02;08:24;;;LD;Flight Landed;2A;3531;TRN;LD;Flight Landed
XHJ;2023-06-02;09:39;2023-06-02;09:47;;T09;DP;Flight Departed;QKL;2023-06-02;10:15;2023-06-02;10:24;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-06-02;11:39;2023-06-02;11:44;;T09;DP;Flight Departed;QKL;2023-06-02;12:15;2023-06-02;12:17;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-06-02;13:39;2023-06-02;13:41;;T09;DP;Flight Departed;QKL;2023-06-02;14:15;2023-06-02;14:23;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-06-02;15:39;2023-06-02;15:46;;T09;DP;Flight Departed;QKL;2023-06-02;16:15;2023-06-02;16:20;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-06-02;17:39;2023-06-02;17:47;;T09;DP;Flight Departed;QKL;2023-06-02;18:15;2023-06-02;18:19;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
XHJ;2023-06-02;19:39;2023-06-02;19:42;;T09;DP;Flight Departed;QKL;2023-06-02;20:15;2023-06-02;20:14;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-06-02;06:40;2023-06-02;06:38;;;DP;Flight Departed;FRA;2023-06-02;07:45;2023-06-02;07:48;1;BSO;LD;Flight Landed;EN;8057;E95;LD;Flight Landed
INN;2023-06-02;08:25;2023-06-02;08:26;;001;DP;Flight Departed;VIE;2023-06-02;09:25;2023-06-02;09:20;3;ARS;LD;Flight Landed;OS;916;E95;LD;Flight Landed
INN;2023-06-02;13:20;2023-06-02;13:16;;;DP;Flight Departed;HER;2023-06-02;16:50;2023-06-02;17:00;;;LD;Flight Landed;E6;5640;31D;LD;Flight Landed
