DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-05-28;09:39;2023-05-28;11:17;;T09;DP;Flight Departed;QKL;2023-05-28;10:15;2023-05-28;11:53;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-05-28;11:39;2023-05-28;11:45;;T09;DP;Flight Departed;QKL;2023-05-28;12:15;2023-05-28;12:16;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-05-28;13:39;2023-05-28;13:46;;T09;DP;Flight Departed;QKL;2023-05-28;14:15;2023-05-28;14:23;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-05-28;15:39;2023-05-28;16:31;;T09;DP;Flight Departed;QKL;2023-05-28;16:15;2023-05-28;17:51;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-05-28;17:39;2023-05-28;19:08;;T09;DP;Flight Departed;QKL;2023-05-28;18:15;2023-05-28;19:41;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
XHJ;2023-05-28;19:39;2023-05-28;19:48;;T09;DP;Flight Departed;QKL;2023-05-28;20:15;2023-05-28;20:20;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-05-28;13:50;2023-05-28;13:41;;001;DP;Flight Departed;VIE;2023-05-28;14:50;2023-05-28;14:35;3;ARS;LD;Flight Landed;OS;906;E95;LD;Flight Landed
INN;2023-05-28;14:35;2023-05-28;15:52;;;DP;Flight Departed;FRA;2023-05-28;15:40;2023-05-28;16:49;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-05-28;18:50;2023-05-28;18:36;;001;DP;Flight Departed;VIE;2023-05-28;19:50;2023-05-28;19:34;3;F16A;LD;Flight Landed;OS;902;E95;LD;Flight Landed
SZG;2023-05-28;06:15;2023-05-28;06:38;;;DP;Flight Departed;SUF;2023-05-28;07:55;2023-05-28;08:20;;;LD;Flight Landed;E6;4360;31D;LD;Flight Landed
SZG;2023-05-28;09:40;2023-05-28;09:47;;;DP;Flight Departed;DUS;2023-05-28;10:55;2023-05-28;10:57;;B21;LD;Flight Landed;E6;4336;31D;LD;Flight Landed
SZG;2023-05-28;11:05;2023-05-28;10:57;;;DP;Flight Departed;CGN;2023-05-28;12:15;2023-05-28;12:10;1;B30;LD;Flight Landed;E6;4346;31D;LD;Flight Landed
