DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-06-04;07:39;2023-06-04;07:39;;T09;DP;Flight Departed;QKL;2023-06-04;08:16;2023-06-04;08:16;;;LD;Flight Landed;2A;3531;TRN;LD;Flight Landed
XHJ;2023-06-04;09:39;2023-06-04;09:50;;T09;DP;Flight Departed;QKL;2023-06-04;10:15;2023-06-04;10:24;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-06-04;11:39;2023-06-04;11:44;;T09;DP;Flight Departed;QKL;2023-06-04;12:15;2023-06-04;12:16;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-06-04;13:39;2023-06-04;13:45;;T09;DP;Flight Departed;QKL;2023-06-04;14:15;2023-06-04;14:19;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-06-04;15:39;2023-06-04;15:49;;T09;DP;Flight Departed;QKL;2023-06-04;16:15;2023-06-04;16:21;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-06-04;17:39;2023-06-04;17:41;;T09;DP;Flight Departed;QKL;2023-06-04;18:15;2023-06-04;18:15;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
INN;2023-06-04;06:40;;;;;NO;No Status;FRA;2023-06-04;07:45;;;1;BSO;NO;No Status;EN;8057;E95;CD;Flight Cancelled
INN;2023-06-04;11:40;2023-06-04;11:29;;;DP;Flight Departed;SUF;2023-06-04;13:20;2023-06-04;13:04;;;LD;Flight Landed;E6;4364;31D;LD;Flight Landed
INN;2023-06-04;13:50;2023-06-04;13:46;;001;DP;Flight Departed;VIE;2023-06-04;14:50;2023-06-04;14:31;3;ARS;LD;Flight Landed;OS;906;E95;LD;Flight Landed
INN;2023-06-04;14:35;2023-06-04;14:42;;;DP;Flight Departed;FRA;2023-06-04;15:40;2023-06-04;15:41;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-06-04;18:30;2023-06-04;19:12;;;DP;Flight Departed;FRA;2023-06-04;19:35;2023-06-04;20:21;1;BSO;LD;Flight Landed;EN;8055;E95;LD;Flight Landed
INN;2023-06-04;18:50;2023-06-04;18:50;;001;DP;Flight Departed;VIE;2023-06-04;19:50;2023-06-04;19:40;3;F37A;LD;Flight Landed;OS;902;E95;LD;Flight Landed
RNS;2023-06-04;18:25;2023-06-04;18:32;;00B;DP;Flight Departed;FRA;2023-06-04;19:55;2023-06-04;19:49;1;Area A;LD;Flight Landed;CL;1067;CR9;LD;Flight Landed
SZG;2023-06-04;06:00;2023-06-04;06:01;;;DP;Flight Departed;HRG;2023-06-04;11:00;2023-06-04;11:00;1;;LD;Flight Landed;E6;4392;320;LD;Flight Landed
SZG;2023-06-04;06:05;2023-06-04;05:55;;;DP;Flight Departed;CFU;2023-06-04;08:50;2023-06-04;08:31;;;LD;Flight Landed;E6;4394;31D;LD;Flight Landed
SZG;2023-06-04;06:15;2023-06-04;06:07;;;DP;Flight Departed;SUF;2023-06-04;07:55;2023-06-04;07:45;;;LD;Flight Landed;E6;4360;31D;LD;Flight Landed
SZG;2023-06-04;09:40;2023-06-04;09:36;;;DP;Flight Departed;DUS;2023-06-04;10:55;2023-06-04;10:49;;A68I;LD;Flight Landed;E6;4336;31D;LD;Flight Landed
SZG;2023-06-04;10:50;2023-06-04;10:50;;001;DP;Flight Departed;FRA;2023-06-04;11:55;2023-06-04;11:53;1;B10;LD;Flight Landed;LH;1103;319;LD;Flight Landed
SZG;2023-06-04;11:05;2023-06-04;10:57;;;DP;Flight Departed;CGN;2023-06-04;12:15;2023-06-04;12:18;1;C88;LD;Flight Landed;E6;4346;31D;LD;Flight Landed
SZG;2023-06-04;14:45;2023-06-04;14:40;;006;DP;Flight Departed;FRA;2023-06-04;15:50;2023-06-04;15:45;1;Area A;LD;Flight Landed;LH;1105;319;LD;Flight Landed
SZG;2023-06-04;15:05;2023-06-04;15:08;;;DP;Flight Departed;HER;2023-06-04;18:35;2023-06-04;18:31;;;LD;Flight Landed;E6;4384;31D;LD;Flight Landed
SZG;2023-06-04;16:30;2023-06-04;16:22;;;DP;Flight Departed;HAM;2023-06-04;17:50;2023-06-04;17:35;1;;LD;Flight Landed;E6;4344;320;LD;Flight Landed
SZG;2023-06-04;17:15;2023-06-04;17:25;;;DP;Flight Departed;BER;2023-06-04;18:15;2023-06-04;18:21;1;A37;LD;Flight Landed;EW;8343;320;LD;Flight Landed
SZG;2023-06-04;17:25;2023-06-04;18:23;;;DP;Flight Departed;PMI;2023-06-04;19:30;2023-06-04;20:35;;;LD;Flight Landed;E6;4368;31D;LD;Flight Landed
SZG;2023-06-04;18:30;2023-06-04;18:57;;006;DP;Flight Departed;FRA;2023-06-04;19:35;2023-06-04;19:58;1;Area A;LD;Flight Landed;LH;1107;319;LD;Flight Landed
CTA;2023-06-04;09:50;2023-06-04;09:49;;013;DP;Flight Departed;STR;2023-06-04;12:10;2023-06-04;11:50;1;;LD;Flight Landed;EW;2819;31D;LD;Flight Landed
