DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-05-29;07:39;2023-05-29;08:10;;T09;DP;Flight Departed;QKL;2023-05-29;08:16;2023-05-29;08:41;;;LD;Flight Landed;2A;3531;TRN;LD;Flight Landed
XHJ;2023-05-29;09:39;2023-05-29;09:41;;T09;DP;Flight Departed;QKL;2023-05-29;10:15;2023-05-29;10:17;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-05-29;11:39;2023-05-29;11:42;;T09;DP;Flight Departed;QKL;2023-05-29;12:15;2023-05-29;12:20;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-05-29;13:39;2023-05-29;13:45;;T09;DP;Flight Departed;QKL;2023-05-29;14:15;2023-05-29;14:19;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-05-29;15:39;2023-05-29;15:47;;T09;DP;Flight Departed;QKL;2023-05-29;16:15;2023-05-29;16:21;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-05-29;17:39;2023-05-29;17:45;;T09;DP;Flight Departed;QKL;2023-05-29;18:15;2023-05-29;18:19;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
INN;2023-05-29;06:40;2023-05-29;06:51;;;DP;Flight Departed;FRA;2023-05-29;07:45;2023-05-29;07:53;1;BSO;LD;Flight Landed;EN;8057;E95;LD;Flight Landed
INN;2023-05-29;08:25;2023-05-29;08:13;;001;DP;Flight Departed;VIE;2023-05-29;09:25;2023-05-29;09:03;3;ARS;LD;Flight Landed;OS;916;E95;LD;Flight Landed
INN;2023-05-29;13:20;2023-05-29;13:12;;;DP;Flight Departed;HER;2023-05-29;16:50;2023-05-29;16:39;;;LD;Flight Landed;E6;5640;31D;LD;Flight Landed
INN;2023-05-29;13:50;2023-05-29;13:37;;001;DP;Flight Departed;VIE;2023-05-29;14:50;2023-05-29;14:32;3;F26A;LD;Flight Landed;OS;906;E95;LD;Flight Landed
INN;2023-05-29;14:40;2023-05-29;15:00;;;DP;Flight Departed;FRA;2023-05-29;15:45;2023-05-29;16:02;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-05-29;18:30;2023-05-29;18:50;;;DP;Flight Departed;FRA;2023-05-29;19:35;2023-05-29;20:00;1;BSO;LD;Flight Landed;EN;8055;E95;LD;Flight Landed
INN;2023-05-29;18:50;2023-05-29;18:49;;001;DP;Flight Departed;VIE;2023-05-29;19:50;2023-05-29;19:41;3;F17A;LD;Flight Landed;OS;902;E95;LD;Flight Landed
SZG;2023-05-29;06:05;2023-05-29;06:10;;;DP;Flight Departed;HER;2023-05-29;09:35;2023-05-29;09:33;;;LD;Flight Landed;E6;4384;31D;LD;Flight Landed
SZG;2023-05-29;06:25;2023-05-29;06:51;;001;DP;Flight Departed;FRA;2023-05-29;07:30;2023-05-29;07:54;1;A30;LD;Flight Landed;LH;1109;32A;LD;Flight Landed
SZG;2023-05-29;10:20;2023-05-29;10:22;;;DP;Flight Departed;HAM;2023-05-29;11:40;2023-05-29;11:34;1;;LD;Flight Landed;E6;4344;31D;LD;Flight Landed
SZG;2023-05-29;10:50;2023-05-29;11:03;;006;DP;Flight Departed;FRA;2023-05-29;11:55;2023-05-29;12:09;1;Area A;LD;Flight Landed;LH;1103;319;LD;Flight Landed
SZG;2023-05-29;12:25;2023-05-29;12:24;;;DP;Flight Departed;CGN;2023-05-29;13:35;2023-05-29;13:29;1;C20;LD;Flight Landed;E6;4346;320;LD;Flight Landed
SZG;2023-05-29;15:25;2023-05-29;15:24;;;DP;Flight Departed;BER;2023-05-29;16:30;2023-05-29;16:30;1;A30;LD;Flight Landed;E6;4342;31D;LD;Flight Landed
SZG;2023-05-29;16:15;2023-05-29;19:08;;;DP;Flight Departed;PMI;2023-05-29;18:20;2023-05-29;21:01;;;LD;Flight Landed;E6;4368;320;LD;Flight Landed
SZG;2023-05-29;18:30;2023-05-29;19:08;;010;DP;Flight Departed;FRA;2023-05-29;19:35;2023-05-29;20:10;1;Area A;LD;Flight Landed;LH;1107;319;LD;Flight Landed
SZG;2023-05-29;18:55;2023-05-29;19:07;;;DP;Flight Departed;DUS;2023-05-29;20:10;2023-05-29;20:16;;A50I;LD;Flight Landed;E6;4338;31D;LD;Flight Landed
CTA;2023-05-29;10:15;2023-05-29;10:45;;008;DP;Flight Departed;FRA;2023-05-29;12:55;2023-05-29;13:19;1;A28;LD;Flight Landed;LH;309;32A;LD;Flight Landed
CTA;2023-05-29;10:45;2023-05-29;10:40;;018;DP;Flight Departed;DUS;2023-05-29;13:35;2023-05-29;13:22;;A68I;LD;Flight Landed;EW;9815;31D;LD;Flight Landed
CTA;2023-05-29;11:55;2023-05-29;11:55;;008;DP;Flight Departed;MUC;2023-05-29;14:05;2023-05-29;14:02;2;K04;LD;Flight Landed;LH;1907;32V;LD;Flight Landed
CTA;2023-05-29;17:00;2023-05-29;17:15;;012;DP;Flight Departed;DUS;2023-05-29;19:50;2023-05-29;19:53;;B91;LD;Flight Landed;EW;9817;31D;LD;Flight Landed
CTA;2023-05-29;17:05;2023-05-29;17:42;;013;DP;Flight Departed;FRA;2023-05-29;19:45;2023-05-29;20:18;1;Area A;LD;Flight Landed;LH;307;321;LD;Flight Landed
CTA;2023-05-29;18:40;2023-05-29;18:39;;004;DP;Flight Departed;MUC;2023-05-29;20:50;2023-05-29;20:43;2;G02;LD;Flight Landed;LH;1909;32N;LD;Flight Landed
CTA;2023-05-29;20:10;2023-05-29;20:09;;;DP;Flight Departed;VIE;2023-05-29;22:10;2023-05-29;22:09;3;ARS;LD;Flight Landed;OS;490;320;LD;Flight Landed
CTA;2023-05-29;20:45;2023-05-29;21:13;;;DP;Flight Departed;ZRH;2023-05-29;22:55;2023-05-29;23:19;;;LD;Flight Landed;WK;399;320;LD;Flight Landed
CTA;2023-05-29;21:00;2023-05-29;20:47;;018;DP;Flight Departed;STR;2023-05-29;23:20;2023-05-29;22:59;1;;LD;Flight Landed;EW;2819;31D;LD;Flight Landed
NTE;2023-05-29;12:20;2023-05-29;12:20;;034;DP;Flight Departed;FRA;2023-05-29;13:55;2023-05-29;13:56;1;Area A;LD;Flight Landed;CL;1055;E90;LD;Flight Landed
NTE;2023-05-29;15:15;2023-05-29;17:13;;;DP;Flight Departed;ZRH;2023-05-29;16:50;2023-05-29;18:47;;;LD;Flight Landed;2L;571;E90;LD;Flight Landed
SKP;2023-05-29;04:25;2023-05-29;04:25;;;DP;Flight Departed;VIE;2023-05-29;06:00;2023-05-29;05:53;3;ARN;LD;Flight Landed;OS;778;E95;LD;Flight Landed
SKP;2023-05-29;06:55;2023-05-29;07:21;;202;DP;Flight Departed;FRA;2023-05-29;09:35;2023-05-29;09:37;1;Area A;LD;Flight Landed;LH;1543;32N;LD;Flight Landed
