DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-05-27;09:39;2023-05-27;09:53;;T09;DP;Flight Departed;QKL;2023-05-27;10:15;2023-05-27;10:24;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-05-27;11:39;;;;T09;NO;No Status;QKL;2023-05-27;12:15;;;;;NO;No Status;2A;3535;TRN;CD;Flight Cancelled
XHJ;2023-05-27;13:39;2023-05-27;13:47;;T09;DP;Flight Departed;QKL;2023-05-27;14:15;2023-05-27;14:24;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-05-27;15:39;2023-05-27;16:16;;T09;DP;Flight Departed;QKL;2023-05-27;16:15;2023-05-27;16:52;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-05-27;17:39;2023-05-27;18:18;;T09;DP;Flight Departed;QKL;2023-05-27;18:15;2023-05-27;18:37;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
XHJ;2023-05-27;19:39;2023-05-27;20:07;;T09;DP;Flight Departed;QKL;2023-05-27;20:15;2023-05-27;20:46;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-05-27;14:45;2023-05-27;16:34;;;DP;Flight Departed;FRA;2023-05-27;15:50;2023-05-27;17:38;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-05-27;17:35;2023-05-27;17:35;;;DP;Flight Departed;PMI;2023-05-27;19:35;2023-05-27;19:33;;;LD;Flight Landed;E6;5648;31D;LD;Flight Landed
INN;2023-05-27;18:50;2023-05-27;18:42;;001;DP;Flight Departed;VIE;2023-05-27;19:50;2023-05-27;19:38;3;ARS;LD;Flight Landed;OS;902;E95;LD;Flight Landed
SZG;2023-05-27;08:10;2023-05-27;08:01;;;DP;Flight Departed;SKG;2023-05-27;11:05;2023-05-27;10:53;;;LD;Flight Landed;E6;4390;32A;LD;Flight Landed
SZG;2023-05-27;09:05;2023-05-27;09:05;;;DP;Flight Departed;DUS;2023-05-27;10:20;2023-05-27;10:17;;B25;LD;Flight Landed;EW;9717;31D;LD;Flight Landed
SZG;2023-05-27;10:50;2023-05-27;12:05;;004;DP;Flight Departed;FRA;2023-05-27;11:55;2023-05-27;13:07;1;Area A;LD;Flight Landed;LH;1103;319;LD;Flight Landed
SZG;2023-05-27;11:30;2023-05-27;11:58;;;DP;Flight Departed;RHO;2023-05-27;15:00;2023-05-27;15:34;1;;LD;Flight Landed;E6;4370;31D;LD;Flight Landed
SZG;2023-05-27;11:50;2023-05-27;11:52;;;DP;Flight Departed;PMI;2023-05-27;13:55;2023-05-27;13:52;;;LD;Flight Landed;E6;6821;31D;LD;Flight Landed
SZG;2023-05-27;13:45;2023-05-27;13:54;;;DP;Flight Departed;LCA;2023-05-27;18:00;2023-05-27;18:05;;;LD;Flight Landed;E6;4310;32A;LD;Flight Landed
SZG;2023-05-27;18:30;2023-05-27;18:36;;010;DP;Flight Departed;FRA;2023-05-27;19:35;2023-05-27;19:36;1;Area A;LD;Flight Landed;LH;1107;319;LD;Flight Landed
CTA;2023-05-27;09:35;2023-05-27;10:16;;007;DP;Flight Departed;HAM;2023-05-27;12:35;2023-05-27;13:05;1;;LD;Flight Landed;EW;7815;31D;LD;Flight Landed
CTA;2023-05-27;10:15;2023-05-27;10:29;;010;DP;Flight Departed;FRA;2023-05-27;12:55;2023-05-27;13:02;1;A14;LD;Flight Landed;LH;307;321;LD;Flight Landed
CTA;2023-05-27;11:55;2023-05-27;11:58;;008;DP;Flight Departed;MUC;2023-05-27;14:05;2023-05-27;14:04;2;G30;LD;Flight Landed;LH;1907;32V;LD;Flight Landed
