AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude
AAL;AAL;DK;Airport;Aalborg;+01:00;Europe/Copenhagen;57.0928;9.8492
AAQ;AAQ;RU;Airport;Anapa;+03:00;Europe/Moscow;45.0022;37.3472
AAR;AAR;DK;Airport;Aarhus Tirstrup;+01:00;Europe/Copenhagen;56.3039;10.6194
ABZ;ABZ;GB;Airport;Aberdeen (GB);+00:00;Europe/London;57.2042;-2.2003
ADA;ADA;TR;Airport;Adana;+03:00;Europe/Istanbul;36.9822;35.2803
ADB;IZM;TR;Airport;Izmir;+03:00;Europe/Istanbul;38.2925;27.1569
ADF;ADF;TR;Airport;Adiyaman;+03:00;Europe/Istanbul;37.7314;38.4689
AER;AER;RU;Airport;Sochi;+03:00;Europe/Moscow;43.45;39.9567
AES;AES;NO;Airport;Aalesund;+01:00;Europe/Oslo;62.5603;6.1103
AGH;AGH;SE;Airport;Angelholm/Helsingborg Angelholm Apt;+01:00;Europe/Stockholm;56.2961;12.8472
AGP;AGP;ES;Airport;Malaga;+01:00;Europe/Madrid;36.675;-4.4992
AJI;AJI;TR;Airport;Agri;+03:00;Europe/Istanbul;39.6539;43.0264
AJR;AJR;SE;Airport;Arvidsjaur;+01:00;Europe/Stockholm;65.5903;19.2819
ALC;ALC;ES;Airport;Alicante;+01:00;Europe/Madrid;38.2822;-0.5581
ALF;ALF;NO;Airport;Alta;+01:00;Europe/Oslo;69.9761;23.3717
AMS;AMS;NL;Airport;Amsterdam;+01:00;Europe/Amsterdam;52.3081;4.7642
ANX;ANX;NO;Airport;Andenes Andoya;+01:00;Europe/Oslo;69.2925;16.1442
AOE;AOE;TR;Airport;Eskisehir Anadolu;+03:00;Europe/Istanbul;39.81;30.5169
AOI;AOI;IT;Airport;Ancona;+01:00;Europe/Rome;43.6167;13.3603
AOK;AOK;GR;Airport;Karpathos;+02:00;Europe/Athens;35.4214;27.1461
ARN;STO;SE;Airport;Stockholm;+01:00;Europe/Stockholm;59.6519;17.9186
ASR;ASR;TR;Airport;Kayseri;+03:00;Europe/Istanbul;38.7703;35.4956
ATH;ATH;GR;Airport;Athens;+02:00;Europe/Athens;37.9364;23.9444
AXD;AXD;GR;Airport;Alexandroupolis;+02:00;Europe/Athens;40.8558;25.9564
AYT;AYT;TR;Airport;Antalya;+03:00;Europe/Istanbul;36.8986;30.8006
BAL;BAL;TR;Airport;Batman;+03:00;Europe/Istanbul;37.9289;41.1167
BRE;BRE;DE;Airport;Bremen;+01:00;Europe/Berlin;53.0475;8.7867
BRI;BRI;IT;Airport;Bari;+01:00;Europe/Rome;41.1381;16.765
BRN;BRN;CH;Airport;Berne;+01:00;Europe/Zurich;46.9142;7.4972
BRS;BRS;GB;Airport;Bristol;+00:00;Europe/London;51.3825;-2.7189
BRU;BRU;BE;Airport;Brussels;+01:00;Europe/Brussels;50.9014;4.4844
BSL;EAP;CH;Airport;Basel;+01:00;Europe/Zurich;47.6011;7.5217
BUD;BUD;HU;Airport;Budapest;+01:00;Europe/Budapest;47.4369;19.2556
BZG;BZG;PL;Airport;Bydgoszcz;+01:00;Europe/Warsaw;53.0967;17.9778
CAG;CAG;IT;Airport;Cagliari;+01:00;Europe/Rome;39.2514;9.0578
CDG;PAR;FR;Airport;Paris/ Ch.de Gaulle;+01:00;Europe/Paris;49.0097;2.5478
CFU;CFU;GR;Airport;Corfu;+02:00;Europe/Athens;39.6019;19.9117
CGN;CGN;DE;Airport;Cologne/Bonn;+01:00;Europe/Berlin;50.8658;7.1428
CHQ;CHQ;GR;Airport;Chania;+02:00;Europe/Athens;35.5317;24.1497
CIY;CIY;IT;Airport;Comiso Vincenzo Magliocco;+01:00;Europe/Rome;36.9947;14.6069
CKZ;CKZ;TR;Airport;Canakkale;+03:00;Europe/Istanbul;40.1378;26.4267
CLJ;CLJ;RO;Airport;Cluj;+02:00;Europe/Bucharest;46.7853;23.6861
CLY;CLY;FR;Airport;Calvi;+01:00;Europe/Paris;42.5203;8.7931
CPH;CPH;DK;Airport;Copenhagen;+01:00;Europe/Copenhagen;55.6203;12.6503
CTA;CTA;IT;Airport;Catania;+01:00;Europe/Rome;37.4667;15.0639
CUF;CUF;IT;Airport;Cuneo;+01:00;Europe/Rome;44.5475;7.6231
DBV;DBV;HR;Airport;Dubrovnik;+01:00;Europe/Zagreb;42.5614;18.2683
DEB;DEB;HU;Airport;Debrecen;+01:00;Europe/Budapest;47.4889;21.6153
DHC;BRE;DE;Rail Station;Bremen Hbf;+01:00;Europe/Berlin;53.0836;8.8142
DIY;DIY;TR;Airport;Diyarbakir;+03:00;Europe/Istanbul;37.8939;40.2011
DLM;DLM;TR;Airport;Dalaman;+03:00;Europe/Istanbul;36.7131;28.7925
DME;MOW;RU;Airport;Moscow Domodedowo;+03:00;Europe/Moscow;55.4089;37.9064
DNK;DNK;UA;Airport;Dnepropetrovsk;+02:00;Europe/Zaporozhye;48.3572;35.1006
DNZ;DNZ;TR;Airport;Denizli;+03:00;Europe/Istanbul;37.7856;29.7014
DRS;DRS;DE;Airport;Dresden;+01:00;Europe/Berlin;51.1344;13.7681
DTM;DTM;DE;Airport;Dortmund;+01:00;Europe/Berlin;51.5183;7.6122
DTZ;DTM;DE;Rail Station;Dortmund Central Station;+01:00;Europe/Berlin;51.5178;7.4592
DUB;DUB;IE;Airport;Dublin;+00:00;Europe/Dublin;53.4214;-6.27
DUS;DUS;DE;Airport;Dusseldorf;+01:00;Europe/Berlin;51.2894;6.7667
EDI;EDI;GB;Airport;Edinburgh;+00:00;Europe/London;55.95;-3.3725
EDO;EDO;TR;Airport;Edremit Korfez;+03:00;Europe/Istanbul;39.5547;27.0139
EFL;EFL;GR;Airport;Kefallinia;+02:00;Europe/Athens;38.12;20.5006
EGO;EGO;RU;Airport;Belgorod;+03:00;Europe/Moscow;50.6439;36.59
EMA;NQT;GB;Airport;East Midlands;+00:00;Europe/London;52.8311;-1.3281
