DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-06-01;07:39;;;;T09;NO;No Status;QKL;2023-06-01;08:16;;;;;NO;No Status;2A;3531;TRN;CD;Flight Cancelled
XHJ;2023-06-01;09:39;2023-06-01;09:53;;T09;DP;Flight Departed;QKL;2023-06-01;10:15;2023-06-01;10:28;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-06-01;11:39;2023-06-01;11:47;;T09;DP;Flight Departed;QKL;2023-06-01;12:15;2023-06-01;12:19;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-06-01;13:39;2023-06-01;13:40;;T09;DP;Flight Departed;QKL;2023-06-01;14:15;2023-06-01;14:32;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-06-01;15:39;2023-06-01;15:44;;T09;DP;Flight Departed;QKL;2023-06-01;16:15;2023-06-01;16:27;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-06-01;17:39;2023-06-01;17:52;;T09;DP;Flight Departed;QKL;2023-06-01;18:15;2023-06-01;18:26;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
XHJ;2023-06-01;19:39;2023-06-01;19:43;;T09;DP;Flight Departed;QKL;2023-06-01;20:15;2023-06-01;20:14;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-06-01;08:25;2023-06-01;08:15;;001;DP;Flight Departed;VIE;2023-06-01;09:25;2023-06-01;09:13;3;F22A;LD;Flight Landed;OS;916;E95;LD;Flight Landed
INN;2023-06-01;10:40;2023-06-01;11:40;;;DP;Flight Departed;FRA;2023-06-01;11:45;2023-06-01;12:42;1;BSO;LD;Flight Landed;EN;8051;E95;LD;Flight Landed
INN;2023-06-01;13:50;2023-06-01;14:01;;001;DP;Flight Departed;VIE;2023-06-01;14:50;2023-06-01;14:56;3;ARS;LD;Flight Landed;OS;906;E95;LD;Flight Landed
INN;2023-06-01;14:35;2023-06-01;14:59;;;DP;Flight Departed;FRA;2023-06-01;15:40;2023-06-01;16:02;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-06-01;18:50;2023-06-01;18:45;;001;DP;Flight Departed;VIE;2023-06-01;19:50;2023-06-01;19:41;3;ARS;LD;Flight Landed;OS;902;E95;LD;Flight Landed
RNS;2023-06-01;18:30;2023-06-01;18:40;;00B;DP;Flight Departed;FRA;2023-06-01;20:00;2023-06-01;20:10;1;Area A;LD;Flight Landed;CL;1067;CR9;LD;Flight Landed
SZG;2023-06-01;06:00;2023-06-01;05:58;;;DP;Flight Departed;ZTH;2023-06-01;08:55;2023-06-01;08:56;;;LD;Flight Landed;E6;4388;320;LD;Flight Landed
SZG;2023-06-01;06:10;2023-06-01;06:05;;;DP;Flight Departed;RHO;2023-06-01;09:40;2023-06-01;09:34;1;;LD;Flight Landed;E6;4370;31D;LD;Flight Landed
SZG;2023-06-01;06:35;2023-06-01;06:31;;;DP;Flight Departed;DUS;2023-06-01;07:50;2023-06-01;07:44;;A40;LD;Flight Landed;E6;4334;31D;LD;Flight Landed
SZG;2023-06-01;10:20;2023-06-01;11:00;;;DP;Flight Departed;CGN;2023-06-01;11:30;2023-06-01;12:02;1;B40;LD;Flight Landed;E6;4346;31D;LD;Flight Landed
SZG;2023-06-01;10:50;2023-06-01;11:28;;010;DP;Flight Departed;FRA;2023-06-01;11:55;2023-06-01;12:29;1;Area A;LD;Flight Landed;LH;1103;319;LD;Flight Landed
SZG;2023-06-01;12:05;2023-06-01;12:11;;;DP;Flight Departed;HRG;2023-06-01;17:05;2023-06-01;17:17;1;;LD;Flight Landed;E6;4392;320;LD;Flight Landed
SZG;2023-06-01;13:20;2023-06-01;13:20;;;DP;Flight Departed;BER;2023-06-01;14:25;2023-06-01;14:26;1;A22;LD;Flight Landed;E6;4342;31D;LD;Flight Landed
SZG;2023-06-01;14:45;2023-06-01;14:55;;;DP;Flight Departed;HAM;2023-06-01;16:05;2023-06-01;16:06;1;;LD;Flight Landed;E6;4344;31D;LD;Flight Landed
SZG;2023-06-01;16:50;2023-06-01;17:26;;;DP;Flight Departed;PMI;2023-06-01;18:55;2023-06-01;19:20;;;LD;Flight Landed;E6;4368;31D;LD;Flight Landed
SZG;2023-06-01;18:35;2023-06-01;19:00;;001;DP;Flight Departed;FRA;2023-06-01;19:40;2023-06-01;20:03;1;Area A;LD;Flight Landed;LH;1107;319;LD;Flight Landed
SZG;2023-06-01;18:55;2023-06-01;18:57;;;DP;Flight Departed;DUS;2023-06-01;20:10;2023-06-01;20:09;;A40;LD;Flight Landed;E6;4338;31D;LD;Flight Landed
CTA;2023-06-01;08:50;2023-06-01;08:55;;018;DP;Flight Departed;STR;2023-06-01;11:10;2023-06-01;11:08;1;;LD;Flight Landed;X8;2819;320;LD;Flight Landed
CTA;2023-06-01;08:55;2023-06-01;09:11;;;DP;Flight Departed;ZRH;2023-06-01;11:10;2023-06-01;11:12;;;LD;Flight Landed;WK;399;320;LD;Flight Landed
CTA;2023-06-01;10:10;2023-06-01;10:50;;012;DP;Flight Departed;FRA;2023-06-01;12:50;2023-06-01;13:20;1;A30;LD;Flight Landed;LH;307;32N;LD;Flight Landed
CTA;2023-06-01;10:50;2023-06-01;10:41;;004;DP;Flight Departed;DUS;2023-06-01;13:40;2023-06-01;13:26;;A39;LD;Flight Landed;X8;9815;320;LD;Flight Landed
CTA;2023-06-01;11:55;2023-06-01;11:55;;012;DP;Flight Departed;MUC;2023-06-01;14:05;2023-06-01;13:59;2;K01;LD;Flight Landed;LH;1907;32V;LD;Flight Landed
CTA;2023-06-01;15:35;2023-06-01;16:12;;018;DP;Flight Departed;CGN;2023-06-01;18:20;2023-06-01;18:40;1;B40;LD;Flight Landed;EW;817;32A;LD;Flight Landed
CTA;2023-06-01;18:40;2023-06-01;18:38;;012;DP;Flight Departed;MUC;2023-06-01;20:50;2023-06-01;20:34;2;K27;LD;Flight Landed;LH;1909;32M;LD;Flight Landed
