FlightId;ArrAirportCode;ArrScheduledDate;ArrScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DpStatusDescription;StatusCode;StatusDescription
4Y011;FRA;2023-05-19;09:40;2023-05-19;10:17;1;Area B;LD;Flight Landed;4Y;11;333;2023-05-18;16:23;4;;DP;Flight Departed;LD;Flight Landed
LH009;FRA;2023-05-19;09:40;2023-05-19;09:59;1;A11;LD;Flight Landed;LH;9;320;2023-05-19;08:38;2;A17;DP;Flight Departed;LD;Flight Landed
LH1181;FRA;2023-05-19;09:40;2023-05-19;10:18;1;A34;LD;Flight Landed;LH;1181;32Q;2023-05-19;06:15;;033;DP;Flight Departed;LD;Flight Landed
LH209;FRA;2023-05-19;09:50;2023-05-19;10:03;1;A18;LD;Flight Landed;LH;209;32A;2023-05-19;08:48;;006;DP;Flight Departed;LD;Flight Landed
2A3607;FRA;2023-05-19;09:50;2023-05-19;09:52;TN;T04;LD;Flight Landed;2A;3607;TRN;2023-05-19;08:59;;T06;DP;Flight Departed;LD;Flight Landed
2A3557;FRA;2023-05-19;09:51;2023-05-19;09:57;TN;;LD;Flight Landed;2A;3557;TRN;2023-05-19;08:40;;T10;DP;Flight Departed;LD;Flight Landed
LH177;FRA;2023-05-19;09:55;2023-05-19;10:10;1;A16;LD;Flight Landed;LH;177;321;2023-05-19;08:50;1;B01;DP;Flight Departed;LD;Flight Landed
LH099;FRA;2023-05-19;10:00;2023-05-19;10:15;1;Area A;LD;Flight Landed;LH;99;321;2023-05-19;09:06;2;G28;DP;Flight Departed;LD;Flight Landed
2A3437;FRA;2023-05-19;10:06;2023-05-19;10:15;TN;T04;LD;Flight Landed;2A;3437;TRN;2023-05-19;09:36;;T03;DP;Flight Departed;LD;Flight Landed
CL927;FRA;2023-05-19;10:10;2023-05-19;10:20;1;B63;LD;Flight Landed;CL;927;E90;2023-05-19;07:56;;008;DP;Flight Departed;LD;Flight Landed
LH1137;FRA;2023-05-19;10:10;2023-05-19;10:26;1;A17;LD;Flight Landed;LH;1137;321;2023-05-19;08:12;1;B62;DP;Flight Departed;LD;Flight Landed
2A3469;FRA;2023-05-19;10:20;2023-05-19;10:30;TN;T04;LD;Flight Landed;2A;3469;TRN;2023-05-19;09:05;;T06;DP;Flight Departed;LD;Flight Landed
LH247;FRA;2023-05-19;10:25;2023-05-19;10:28;1;A21;LD;Flight Landed;LH;247;32A;2023-05-19;09:13;1;A08;DP;Flight Departed;LD;Flight Landed
LH455;FRA;2023-05-19;10:25;2023-05-19;10:24;1;B26;LD;Flight Landed;LH;455;74H;2023-05-18;14:43;I;G13;DP;Flight Departed;LD;Flight Landed
LH1007;FRA;2023-05-19;10:30;2023-05-19;10:31;1;Area A;LD;Flight Landed;LH;1007;319;2023-05-19;09:26;;;DP;Flight Departed;LD;Flight Landed
CL1213;FRA;2023-05-19;10:30;2023-05-19;10:40;1;Area A;LD;Flight Landed;CL;1213;CR9;2023-05-19;09:18;1;;DP;Flight Departed;LD;Flight Landed
2A3507;FRA;2023-05-19;10:33;2023-05-19;10:30;TN;T04;LD;Flight Landed;2A;3507;TRN;2023-05-19;09:11;;T15;DP;Flight Departed;LD;Flight Landed
LH457;FRA;2023-05-19;10:35;2023-05-19;10:49;1;Z66;LD;Flight Landed;LH;457;74H;2023-05-18;15:03;B;150;DP;Flight Departed;LD;Flight Landed
