FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH887;VNO;2023-05-29;13:50;2023-05-29;14:28;;A17;DP;Flight Departed;FRA;2023-05-29;15:05;2023-05-29;15:39;1;A60;LD;Flight Landed;LH;887;32N;LD;Flight Landed
2L1341;VNO;2023-05-29;16:30;2023-05-29;16:50;;;DP;Flight Departed;ZRH;2023-05-29;17:55;2023-05-29;18:01;;;LD;Flight Landed;2L;1341;E90;LD;Flight Landed
2A3433;QFB;2023-05-29;05:52;2023-05-29;05:56;;T01;DP;Flight Departed;KJR;2023-05-29;06:58;2023-05-29;06:57;;;LD;Flight Landed;2A;3433;TRN;LD;Flight Landed
2A3437;QFB;2023-05-29;07:53;2023-05-29;08:08;;T01;DP;Flight Departed;KJR;2023-05-29;08:58;2023-05-29;09:09;;;LD;Flight Landed;2A;3437;TRN;LD;Flight Landed
2A3441;QFB;2023-05-29;09:55;2023-05-29;09:58;;T01;DP;Flight Departed;KJR;2023-05-29;10:58;2023-05-29;11:00;;;LD;Flight Landed;2A;3441;TRN;LD;Flight Landed
2A3430;QFB;2023-05-29;10:05;2023-05-29;10:05;;T03;DP;Flight Departed;ZBA;2023-05-29;10:38;2023-05-29;10:37;;;LD;Flight Landed;2A;3430;TRN;LD;Flight Landed
2A3445;QFB;2023-05-29;11:55;2023-05-29;11:59;;T01;DP;Flight Departed;KJR;2023-05-29;12:58;2023-05-29;12:58;;;LD;Flight Landed;2A;3445;TRN;LD;Flight Landed
2A3432;QFB;2023-05-29;12:02;2023-05-29;12:07;;T03;DP;Flight Departed;ZBA;2023-05-29;12:36;2023-05-29;12:40;;;LD;Flight Landed;2A;3432;TRN;LD;Flight Landed
2A3449;QFB;2023-05-29;13:55;2023-05-29;13:55;;T01;DP;Flight Departed;KJR;2023-05-29;14:58;2023-05-29;14:58;;;LD;Flight Landed;2A;3449;TRN;LD;Flight Landed
2A3434;QFB;2023-05-29;14:02;2023-05-29;14:07;;T03;DP;Flight Departed;ZBA;2023-05-29;14:36;2023-05-29;14:35;;;LD;Flight Landed;2A;3434;TRN;LD;Flight Landed
2A3453;QFB;2023-05-29;15:55;2023-05-29;16:01;;T01;DP;Flight Departed;KJR;2023-05-29;16:58;2023-05-29;17:07;;;LD;Flight Landed;2A;3453;TRN;LD;Flight Landed
2A3442;QFB;2023-05-29;16:02;2023-05-29;16:03;;T03;DP;Flight Departed;ZBA;2023-05-29;16:36;2023-05-29;16:37;;;LD;Flight Landed;2A;3442;TRN;LD;Flight Landed
2A3457;QFB;2023-05-29;17:53;2023-05-29;17:58;;T01;DP;Flight Departed;KJR;2023-05-29;18:58;2023-05-29;18:59;;;LD;Flight Landed;2A;3457;TRN;LD;Flight Landed
2A3450;QFB;2023-05-29;20:02;2023-05-29;20:15;;T03;DP;Flight Departed;ZBA;2023-05-29;20:36;2023-05-29;20:55;;;LD;Flight Landed;2A;3450;TRN;LD;Flight Landed
2A3454;QFB;2023-05-29;22:08;2023-05-29;22:08;;T03;DP;Flight Departed;ZBA;2023-05-29;22:42;2023-05-29;22:37;;;LD;Flight Landed;2A;3454;TRN;LD;Flight Landed
