FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
2A3531;XHJ;2023-05-29;07:39;2023-05-29;08:10;;T09;DP;Flight Departed;QKL;2023-05-29;08:16;2023-05-29;08:41;;;LD;Flight Landed;2A;3531;TRN;LD;Flight Landed
2A3533;XHJ;2023-05-29;09:39;2023-05-29;09:41;;T09;DP;Flight Departed;QKL;2023-05-29;10:15;2023-05-29;10:17;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
2A3535;XHJ;2023-05-29;11:39;2023-05-29;11:42;;T09;DP;Flight Departed;QKL;2023-05-29;12:15;2023-05-29;12:20;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
2A3537;XHJ;2023-05-29;13:39;2023-05-29;13:45;;T09;DP;Flight Departed;QKL;2023-05-29;14:15;2023-05-29;14:19;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
2A3539;XHJ;2023-05-29;15:39;2023-05-29;15:47;;T09;DP;Flight Departed;QKL;2023-05-29;16:15;2023-05-29;16:21;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
2A3541;XHJ;2023-05-29;17:39;2023-05-29;17:45;;T09;DP;Flight Departed;QKL;2023-05-29;18:15;2023-05-29;18:19;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
EN8057;INN;2023-05-29;06:40;2023-05-29;06:51;;;DP;Flight Departed;FRA;2023-05-29;07:45;2023-05-29;07:53;1;BSO;LD;Flight Landed;EN;8057;E95;LD;Flight Landed
OS916;INN;2023-05-29;08:25;2023-05-29;08:13;;001;DP;Flight Departed;VIE;2023-05-29;09:25;2023-05-29;09:03;3;ARS;LD;Flight Landed;OS;916;E95;LD;Flight Landed
E65640;INN;2023-05-29;13:20;2023-05-29;13:12;;;DP;Flight Departed;HER;2023-05-29;16:50;2023-05-29;16:39;;;LD;Flight Landed;E6;5640;31D;LD;Flight Landed
OS906;INN;2023-05-29;13:50;2023-05-29;13:37;;001;DP;Flight Departed;VIE;2023-05-29;14:50;2023-05-29;14:32;3;F26A;LD;Flight Landed;OS;906;E95;LD;Flight Landed
EN8053;INN;2023-05-29;14:40;2023-05-29;15:00;;;DP;Flight Departed;FRA;2023-05-29;15:45;2023-05-29;16:02;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
EN8055;INN;2023-05-29;18:30;2023-05-29;18:50;;;DP;Flight Departed;FRA;2023-05-29;19:35;2023-05-29;20:00;1;BSO;LD;Flight Landed;EN;8055;E95;LD;Flight Landed
OS902;INN;2023-05-29;18:50;2023-05-29;18:49;;001;DP;Flight Departed;VIE;2023-05-29;19:50;2023-05-29;19:41;3;F17A;LD;Flight Landed;OS;902;E95;LD;Flight Landed
E64384;SZG;2023-05-29;06:05;2023-05-29;06:10;;;DP;Flight Departed;HER;2023-05-29;09:35;2023-05-29;09:33;;;LD;Flight Landed;E6;4384;31D;LD;Flight Landed
LH1109;SZG;2023-05-29;06:25;2023-05-29;06:51;;001;DP;Flight Departed;FRA;2023-05-29;07:30;2023-05-29;07:54;1;A30;LD;Flight Landed;LH;1109;32A;LD;Flight Landed
E64344;SZG;2023-05-29;10:20;2023-05-29;10:22;;;DP;Flight Departed;HAM;2023-05-29;11:40;2023-05-29;11:34;1;;LD;Flight Landed;E6;4344;31D;LD;Flight Landed
LH1103;SZG;2023-05-29;10:50;2023-05-29;11:03;;006;DP;Flight Departed;FRA;2023-05-29;11:55;2023-05-29;12:09;1;Area A;LD;Flight Landed;LH;1103;319;LD;Flight Landed
E64346;SZG;2023-05-29;12:25;2023-05-29;12:24;;;DP;Flight Departed;CGN;2023-05-29;13:35;2023-05-29;13:29;1;C20;LD;Flight Landed;E6;4346;320;LD;Flight Landed
E64342;SZG;2023-05-29;15:25;2023-05-29;15:24;;;DP;Flight Departed;BER;2023-05-29;16:30;2023-05-29;16:30;1;A30;LD;Flight Landed;E6;4342;31D;LD;Flight Landed
E64368;SZG;2023-05-29;16:15;2023-05-29;19:08;;;DP;Flight Departed;PMI;2023-05-29;18:20;2023-05-29;21:01;;;LD;Flight Landed;E6;4368;320;LD;Flight Landed
LH1107;SZG;2023-05-29;18:30;2023-05-29;19:08;;010;DP;Flight Departed;FRA;2023-05-29;19:35;2023-05-29;20:10;1;Area A;LD;Flight Landed;LH;1107;319;LD;Flight Landed
E64338;SZG;2023-05-29;18:55;2023-05-29;19:07;;;DP;Flight Departed;DUS;2023-05-29;20:10;2023-05-29;20:16;;A50I;LD;Flight Landed;E6;4338;31D;LD;Flight Landed
LH309;CTA;2023-05-29;10:15;2023-05-29;10:45;;008;DP;Flight Departed;FRA;2023-05-29;12:55;2023-05-29;13:19;1;A28;LD;Flight Landed;LH;309;32A;LD;Flight Landed
EW9815;CTA;2023-05-29;10:45;2023-05-29;10:40;;018;DP;Flight Departed;DUS;2023-05-29;13:35;2023-05-29;13:22;;A68I;LD;Flight Landed;EW;9815;31D;LD;Flight Landed
LH1907;CTA;2023-05-29;11:55;2023-05-29;11:55;;008;DP;Flight Departed;MUC;2023-05-29;14:05;2023-05-29;14:02;2;K04;LD;Flight Landed;LH;1907;32V;LD;Flight Landed
EW9817;CTA;2023-05-29;17:00;2023-05-29;17:15;;012;DP;Flight Departed;DUS;2023-05-29;19:50;2023-05-29;19:53;;B91;LD;Flight Landed;EW;9817;31D;LD;Flight Landed
LH307;CTA;2023-05-29;17:05;2023-05-29;17:42;;013;DP;Flight Departed;FRA;2023-05-29;19:45;2023-05-29;20:18;1;Area A;LD;Flight Landed;LH;307;321;LD;Flight Landed
LH1909;CTA;2023-05-29;18:40;2023-05-29;18:39;;004;DP;Flight Departed;MUC;2023-05-29;20:50;2023-05-29;20:43;2;G02;LD;Flight Landed;LH;1909;32N;LD;Flight Landed
OS490;CTA;2023-05-29;20:10;2023-05-29;20:09;;;DP;Flight Departed;VIE;2023-05-29;22:10;2023-05-29;22:09;3;ARS;LD;Flight Landed;OS;490;320;LD;Flight Landed
WK399;CTA;2023-05-29;20:45;2023-05-29;21:13;;;DP;Flight Departed;ZRH;2023-05-29;22:55;2023-05-29;23:19;;;LD;Flight Landed;WK;399;320;LD;Flight Landed
EW2819;CTA;2023-05-29;21:00;2023-05-29;20:47;;018;DP;Flight Departed;STR;2023-05-29;23:20;2023-05-29;22:59;1;;LD;Flight Landed;EW;2819;31D;LD;Flight Landed
CL1055;NTE;2023-05-29;12:20;2023-05-29;12:20;;034;DP;Flight Departed;FRA;2023-05-29;13:55;2023-05-29;13:56;1;Area A;LD;Flight Landed;CL;1055;E90;LD;Flight Landed
2L571;NTE;2023-05-29;15:15;2023-05-29;17:13;;;DP;Flight Departed;ZRH;2023-05-29;16:50;2023-05-29;18:47;;;LD;Flight Landed;2L;571;E90;LD;Flight Landed
OS778;SKP;2023-05-29;04:25;2023-05-29;04:25;;;DP;Flight Departed;VIE;2023-05-29;06:00;2023-05-29;05:53;3;ARN;LD;Flight Landed;OS;778;E95;LD;Flight Landed
LH1543;SKP;2023-05-29;06:55;2023-05-29;07:21;;202;DP;Flight Departed;FRA;2023-05-29;09:35;2023-05-29;09:37;1;Area A;LD;Flight Landed;LH;1543;32N;LD;Flight Landed
OS776;SKP;2023-05-29;12:40;2023-05-29;12:45;;;DP;Flight Departed;VIE;2023-05-29;14:15;2023-05-29;14:12;3;G17A;LD;Flight Landed;OS;776;E95;LD;Flight Landed
LH1541;SKP;2023-05-29;14:55;2023-05-29;15:14;;203;DP;Flight Departed;FRA;2023-05-29;17:35;2023-05-29;17:41;1;Z50A;LD;Flight Landed;LH;1541;319;LD;Flight Landed
WK331;ZTH;2023-05-29;15:30;2023-05-29;15:26;;;DP;Flight Departed;ZRH;2023-05-29;17:00;2023-05-29;16:51;;;LD;Flight Landed;WK;331;320;LD;Flight Landed
EW9009;GWT;2023-05-29;12:30;2023-05-29;12:34;1;;DP;Flight Departed;DUS;2023-05-29;13:40;2023-05-29;13:36;;B91;LD;Flight Landed;EW;9009;31D;LD;Flight Landed
CL2185;GWT;2023-05-29;20:20;2023-05-29;20:16;;002;DP;Flight Departed;MUC;2023-05-29;21:45;2023-05-29;21:36;2;T02S;LD;Flight Landed;CL;2185;CR9;LD;Flight Landed
CL1635;WRO;2023-05-29;06:10;2023-05-29;06:02;;003;DP;Flight Departed;MUC;2023-05-29;07:20;2023-05-29;07:06;2;G81;LD;Flight Landed;CL;1635;CR9;LD;Flight Landed
BT1377;WRO;2023-05-29;09:50;2023-05-29;09:54;;003;DP;Flight Departed;ZRH;2023-05-29;11:30;2023-05-29;11:30;;;LD;Flight Landed;BT;1377;223;LD;Flight Landed
EN8767;WRO;2023-05-29;10:55;2023-05-29;12:04;;003;DP;Flight Departed;FRA;2023-05-29;12:15;2023-05-29;13:27;1;BSO;LD;Flight Landed;EN;8767;E90;LD;Flight Landed
CL1631;WRO;2023-05-29;13:10;2023-05-29;13:12;;003;DP;Flight Departed;MUC;2023-05-29;14:20;2023-05-29;14:17;2;T02S;LD;Flight Landed;CL;1631;CR9;LD;Flight Landed
EW9731;WRO;2023-05-29;13:30;2023-05-29;13:32;;;DP;Flight Departed;DUS;2023-05-29;15:00;2023-05-29;14:54;;B25;LD;Flight Landed;EW;9731;31D;LD;Flight Landed
CL1355;WRO;2023-05-29;18:50;2023-05-29;19:18;;003;DP;Flight Departed;FRA;2023-05-29;20:10;2023-05-29;20:39;1;BSO;LD;Flight Landed;CL;1355;E90;LD;Flight Landed
2A3551;ZWS;2023-05-29;05:01;2023-05-29;05:01;;T10;DP;Flight Departed;FRA;2023-05-29;06:35;2023-05-29;06:38;TN;;LD;Flight Landed;2A;3551;TRN;LD;Flight Landed
2A3401;ZWS;2023-05-29;05:51;2023-05-29;05:52;;T10;DP;Flight Departed;FRA;2023-05-29;07:06;2023-05-29;07:08;TN;T04;LD;Flight Landed;2A;3401;TRN;LD;Flight Landed
2A3403;ZWS;2023-05-29;07:25;2023-05-29;07:25;;T09;DP;Flight Departed;FRA;2023-05-29;08:35;2023-05-29;08:38;TN;T04;LD;Flight Landed;2A;3403;TRN;LD;Flight Landed
2A3555;ZWS;2023-05-29;07:51;2023-05-29;07:52;;T10;DP;Flight Departed;FRA;2023-05-29;09:06;2023-05-29;09:08;TN;;LD;Flight Landed;2A;3555;TRN;LD;Flight Landed
2A3400;ZWS;2023-05-29;08:14;2023-05-29;08:17;;T15;DP;Flight Departed;QUL;2023-05-29;09:10;2023-05-29;09:16;;;LD;Flight Landed;2A;3400;TRN;LD;Flight Landed
2A3405;ZWS;2023-05-29;09:23;2023-05-29;09:23;;T05;DP;Flight Departed;FRA;2023-05-29;10:35;2023-05-29;10:37;TN;;LD;Flight Landed;2A;3405;TRN;LD;Flight Landed
2A3407;ZWS;2023-05-29;09:51;2023-05-29;10:04;;T09;DP;Flight Departed;FRA;2023-05-29;11:06;2023-05-29;11:13;TN;T04;LD;Flight Landed;2A;3407;TRN;LD;Flight Landed
2A3404;ZWS;2023-05-29;10:14;2023-05-29;10:25;;T16;DP;Flight Departed;QUL;2023-05-29;11:10;2023-05-29;11:19;;;LD;Flight Landed;2A;3404;TRN;LD;Flight Landed
2A3559;ZWS;2023-05-29;10:37;2023-05-29;10:40;;T10;DP;Flight Departed;FRA;2023-05-29;11:51;2023-05-29;12:36;TN;;LD;Flight Landed;2A;3559;TRN;LD;Flight Landed
2A3561;ZWS;2023-05-29;11:23;2023-05-29;11:23;;T10;DP;Flight Departed;FRA;2023-05-29;12:35;2023-05-29;12:44;TN;;LD;Flight Landed;2A;3561;TRN;LD;Flight Landed
2A3408;ZWS;2023-05-29;11:28;2023-05-29;11:29;;T16;DP;Flight Departed;QUL;2023-05-29;12:10;2023-05-29;12:21;;;LD;Flight Landed;2A;3408;TRN;LD;Flight Landed
2A3411;ZWS;2023-05-29;11:51;2023-05-29;11:55;;T10;DP;Flight Departed;FRA;2023-05-29;13:06;2023-05-29;13:07;TN;T04;LD;Flight Landed;2A;3411;TRN;LD;Flight Landed
2A3410;ZWS;2023-05-29;12:14;2023-05-29;12:58;;T10;DP;Flight Departed;QUL;2023-05-29;13:10;2023-05-29;13:46;;;LD;Flight Landed;2A;3410;TRN;LD;Flight Landed
2A3563;ZWS;2023-05-29;12:38;2023-05-29;12:42;;T10;DP;Flight Departed;FRA;2023-05-29;13:51;2023-05-29;13:54;TN;;LD;Flight Landed;2A;3563;TRN;LD;Flight Landed
2A3565;ZWS;2023-05-29;13:23;2023-05-29;13:25;;T05;DP;Flight Departed;FRA;2023-05-29;14:35;2023-05-29;14:37;TN;;LD;Flight Landed;2A;3565;TRN;LD;Flight Landed
2A3552;ZWS;2023-05-29;13:28;2023-05-29;14:06;;T16;DP;Flight Departed;QUL;2023-05-29;14:10;2023-05-29;14:58;;;LD;Flight Landed;2A;3552;TRN;LD;Flight Landed
2A3417;ZWS;2023-05-29;13:51;2023-05-29;14:00;;T09;DP;Flight Departed;FRA;2023-05-29;15:06;2023-05-29;15:10;TN;T04;LD;Flight Landed;2A;3417;TRN;LD;Flight Landed
2A3414;ZWS;2023-05-29;14:14;2023-05-29;14:22;;T16;DP;Flight Departed;QUL;2023-05-29;15:10;2023-05-29;15:33;;;LD;Flight Landed;2A;3414;TRN;LD;Flight Landed
2A3567;ZWS;2023-05-29;15:23;2023-05-29;15:24;;T09;DP;Flight Departed;FRA;2023-05-29;16:35;2023-05-29;16:39;TN;;LD;Flight Landed;2A;3567;TRN;LD;Flight Landed
2A3419;ZWS;2023-05-29;15:51;2023-05-29;16:03;;T10;DP;Flight Departed;FRA;2023-05-29;17:06;2023-05-29;17:14;TN;T04;LD;Flight Landed;2A;3419;TRN;LD;Flight Landed
2A3416;ZWS;2023-05-29;16:14;2023-05-29;16:24;;T15;DP;Flight Departed;QUL;2023-05-29;17:10;2023-05-29;17:31;;;LD;Flight Landed;2A;3416;TRN;LD;Flight Landed
2A3421;ZWS;2023-05-29;16:37;2023-05-29;16:48;;T10;DP;Flight Departed;FRA;2023-05-29;17:51;2023-05-29;18:08;TN;;LD;Flight Landed;2A;3421;TRN;LD;Flight Landed
2A3423;ZWS;2023-05-29;17:23;2023-05-29;17:24;;T09;DP;Flight Departed;FRA;2023-05-29;18:35;2023-05-29;18:43;TN;;LD;Flight Landed;2A;3423;TRN;LD;Flight Landed
2A3558;ZWS;2023-05-29;17:28;2023-05-29;17:31;;T16;DP;Flight Departed;QUL;2023-05-29;18:10;2023-05-29;18:19;;;LD;Flight Landed;2A;3558;TRN;LD;Flight Landed
2A3425;ZWS;2023-05-29;17:51;2023-05-29;17:56;;T10;DP;Flight Departed;FRA;2023-05-29;19:06;2023-05-29;19:09;TN;T04;LD;Flight Landed;2A;3425;TRN;LD;Flight Landed
2A3420;ZWS;2023-05-29;18:14;2023-05-29;18:15;;T16;DP;Flight Departed;QUL;2023-05-29;19:10;2023-05-29;19:12;;;LD;Flight Landed;2A;3420;TRN;LD;Flight Landed
2A3427;ZWS;2023-05-29;18:38;2023-05-29;18:47;;T10;DP;Flight Departed;FRA;2023-05-29;19:51;2023-05-29;19:55;TN;T04;LD;Flight Landed;2A;3427;TRN;LD;Flight Landed
2A3560;ZWS;2023-05-29;19:28;2023-05-29;19:41;;T15;DP;Flight Departed;QUL;2023-05-29;20:10;2023-05-29;20:23;;;LD;Flight Landed;2A;3560;TRN;LD;Flight Landed
2A3429;ZWS;2023-05-29;19:51;2023-05-29;19:53;;T09;DP;Flight Departed;FRA;2023-05-29;21:30;2023-05-29;21:46;TN;;LD;Flight Landed;2A;3429;TRN;LD;Flight Landed
2A3424;ZWS;2023-05-29;20:14;2023-05-29;20:14;;T16;DP;Flight Departed;QUL;2023-05-29;21:10;2023-05-29;21:11;;;LD;Flight Landed;2A;3424;TRN;LD;Flight Landed
2A3562;ZWS;2023-05-29;21:28;2023-05-29;21:29;;T16;DP;Flight Departed;QUL;2023-05-29;22:10;2023-05-29;22:10;;;LD;Flight Landed;2A;3562;TRN;LD;Flight Landed
2A3428;ZWS;2023-05-29;22:14;2023-05-29;22:52;;T16;DP;Flight Departed;QUL;2023-05-29;23:10;2023-05-29;23:37;;;LD;Flight Landed;2A;3428;TRN;LD;Flight Landed
LH885;TLL;2023-05-29;06:00;2023-05-29;06:05;;006;DP;Flight Departed;FRA;2023-05-29;07:30;2023-05-29;07:38;1;BSO;LD;Flight Landed;LH;885;320;LD;Flight Landed
BT1317;TLL;2023-05-29;06:45;2023-05-29;06:41;;008;DP;Flight Departed;ZRH;2023-05-29;08:35;2023-05-29;08:26;;;LD;Flight Landed;BT;1317;223;LD;Flight Landed
WX2405;TLL;2023-05-29;12:55;2023-05-29;12:58;;004;DP;Flight Departed;MUC;2023-05-29;14:20;2023-05-29;14:14;2;T02S;LD;Flight Landed;WX;2405;CRK;LD;Flight Landed
LH883;TLL;2023-05-29;18:35;2023-05-29;19:15;;006;DP;Flight Departed;FRA;2023-05-29;20:05;2023-05-29;20:33;1;BSO;LD;Flight Landed;LH;883;32M;LD;Flight Landed
OS252;LEJ;2023-05-29;08:00;2023-05-29;07:54;;025;DP;Flight Departed;VIE;2023-05-29;09:10;2023-05-29;08:57;3;ARS;LD;Flight Landed;OS;252;E95;LD;Flight Landed
LH159;LEJ;2023-05-29;08:30;2023-05-29;08:58;;024;DP;Flight Departed;FRA;2023-05-29;09:30;2023-05-29;09:55;1;Area A;LD;Flight Landed;LH;159;319;LD;Flight Landed
CL161;LEJ;2023-05-29;10:25;2023-05-29;10:28;;004;DP;Flight Departed;FRA;2023-05-29;11:25;2023-05-29;11:31;1;Area A;LD;Flight Landed;CL;161;CR9;LD;Flight Landed
E66801;LEJ;2023-05-29;11:35;2023-05-29;12:02;;024;DP;Flight Departed;PMI;2023-05-29;14:10;2023-05-29;14:14;;;LD;Flight Landed;E6;6801;32A;LD;Flight Landed
CL2167;LEJ;2023-05-29;12:30;2023-05-29;12:31;;004;DP;Flight Departed;MUC;2023-05-29;13:30;2023-05-29;13:22;2;T02S;LD;Flight Landed;CL;2167;CR9;LD;Flight Landed
CL163;LEJ;2023-05-29;15:15;2023-05-29;15:22;;024;DP;Flight Departed;FRA;2023-05-29;16:15;2023-05-29;16:24;1;Area A;LD;Flight Landed;CL;163;E90;LD;Flight Landed
CL2169;LEJ;2023-05-29;16:30;2023-05-29;16:19;;004;DP;Flight Departed;MUC;2023-05-29;17:30;2023-05-29;17:10;2;T02S;LD;Flight Landed;CL;2169;CR9;LD;Flight Landed
LH165;LEJ;2023-05-29;18:35;2023-05-29;18:53;;024;DP;Flight Departed;FRA;2023-05-29;19:35;2023-05-29;19:55;1;Area A;LD;Flight Landed;LH;165;319;LD;Flight Landed
OS254;LEJ;2023-05-29;19:55;2023-05-29;20:08;;024;DP;Flight Departed;VIE;2023-05-29;21:05;2023-05-29;21:09;3;ARS;LD;Flight Landed;OS;254;E95;LD;Flight Landed
CL1461;LJU;2023-05-29;07:10;2023-05-29;07:40;;0A1;DP;Flight Departed;FRA;2023-05-29;08:40;2023-05-29;09:00;1;Area A;LD;Flight Landed;CL;1461;CR9;LD;Flight Landed
LX2273;LJU;2023-05-29;10:55;2023-05-29;10:58;;;DP;Flight Departed;ZRH;2023-05-29;12:10;2023-05-29;12:17;;;LD;Flight Landed;LX;2273;223;LD;Flight Landed
CL1697;LJU;2023-05-29;13:10;2023-05-29;13:15;;0A1;DP;Flight Departed;MUC;2023-05-29;14:05;2023-05-29;14:10;2;G81;LD;Flight Landed;CL;1697;CR9;LD;Flight Landed
CL1463;LJU;2023-05-29;14:05;2023-05-29;14:08;;0A1;DP;Flight Departed;FRA;2023-05-29;15:30;2023-05-29;15:28;1;Area A;LD;Flight Landed;CL;1463;CR9;LD;Flight Landed
SN3344;LJU;2023-05-29;16:40;2023-05-29;16:35;;;DP;Flight Departed;BRU;2023-05-29;18:25;2023-05-29;18:10;;;LD;Flight Landed;SN;3344;319;LD;Flight Landed
LX2277;LJU;2023-05-29;19:00;2023-05-29;19:17;;;DP;Flight Departed;ZRH;2023-05-29;20:15;2023-05-29;20:29;;;LD;Flight Landed;LX;2277;223;LD;Flight Landed
E66819;SCN;2023-05-29;10:30;2023-05-29;10:33;;;DP;Flight Departed;PMI;2023-05-29;12:25;2023-05-29;12:29;;;LD;Flight Landed;E6;6819;32A;LD;Flight Landed
WK431;DBV;2023-05-29;08:30;2023-05-29;08:30;;;DP;Flight Departed;ZRH;2023-05-29;10:25;2023-05-29;10:09;;;LD;Flight Landed;WK;431;320;LD;Flight Landed
OS732;DBV;2023-05-29;13:00;2023-05-29;13:06;;;DP;Flight Departed;VIE;2023-05-29;14:20;2023-05-29;14:20;3;F08A;LD;Flight Landed;OS;732;E95;LD;Flight Landed
LH1711;DBV;2023-05-29;16:45;2023-05-29;16:53;;;DP;Flight Departed;MUC;2023-05-29;18:20;2023-05-29;18:28;2;K24;LD;Flight Landed;LH;1711;32V;LD;Flight Landed
4Y901;DBV;2023-05-29;18:55;2023-05-29;19:34;;;DP;Flight Departed;FRA;2023-05-29;20:55;2023-05-29;21:37;1;B09;LD;Flight Landed;4Y;901;32A;LD;Flight Landed
2A3433;KJR;2023-05-29;07:00;2023-05-29;07:00;;T03;DP;Flight Departed;MHJ;2023-05-29;07:24;2023-05-29;07:24;;;LD;Flight Landed;2A;3433;TRN;LD;Flight Landed
