AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude;Continent
LUG;LUG;CH;Airport;Lugano;+01:00;Europe/Zurich;46.0042;8.9106;Europe
LUX;LUX;LU;Airport;Luxembourg;+01:00;Europe/Luxembourg;49.6233;6.2044;Europe
LUZ;LUZ;PL;Airport;Lublin;+01:00;Europe/Warsaw;51.2314;22.6906;Europe
LWO;LWO;UA;Airport;Lviv;+02:00;Europe/Zaporozhye;49.8125;23.9561;Europe
LYR;LYR;NO;Airport;Longyearbyen;+01:00;Europe/Oslo;78.2461;15.4656;Europe
LYS;LYS;FR;Airport;Lyon;+01:00;Europe/Paris;45.7256;5.0811;Europe
LZS;LNZ;AT;Rail Station;Linz Railway Station;+01:00;Europe/Vienna;48.2906;14.2911;Europe
MAD;MAD;ES;Airport;Madrid;+01:00;Europe/Madrid;40.4936;-3.5667;Europe
MAH;MAH;ES;Airport;Menorca;+01:00;Europe/Madrid;39.8625;4.2186;Europe
MAN;MAN;GB;Airport;Manchester (UK);+00:00;Europe/London;53.3536;-2.275;Europe
MHJ;MHG;DE;Rail Station;Mannheim Central Station;+01:00;Europe/Berlin;49.4794;8.4692;Europe
MJF;MJF;NO;Airport;Mosjoen Kjaerstad;+01:00;Europe/Oslo;65.7839;13.215;Europe
MJT;MJT;GR;Airport;Mytilene;+02:00;Europe/Athens;39.0533;26.6022;Europe
MKF;MKF;DE;Rail Station;Muenster/Osnabrueck Muenster Hbf;+01:00;Europe/Berlin;51.9569;7.6353;Europe
MLA;MLA;MT;Airport;Malta;+01:00;Europe/Malta;35.8575;14.4775;Europe
MLO;MLO;GR;Airport;Milos;+02:00;Europe/Athens;36.6967;24.4728;Europe
MLX;MLX;TR;Airport;Malatya Erhac;+03:00;Europe/Istanbul;38.4353;38.0911;Europe
MMX;MMA;SE;Airport;Malmo Sturup;+01:00;Europe/Stockholm;55.5425;13.375;Europe
MOL;MOL;NO;Airport;Molde;+01:00;Europe/Oslo;62.7447;7.2625;Europe
MPL;MPL;FR;Airport;Montpellier;+01:00;Europe/Paris;43.5833;3.9614;Europe
MQM;MQM;TR;Airport;Mardin;+03:00;Europe/Istanbul;37.2233;40.6317;Europe
MQN;MQN;NO;Airport;Mo I Rana;+01:00;Europe/Oslo;66.3667;14.3;Europe
MRS;MRS;FR;Airport;Marseille;+01:00;Europe/Paris;43.4367;5.215;Europe
MSQ;MSQ;BY;Airport;Minsk 2;+03:00;Europe/Minsk;53.8825;28.0308;Europe
MSR;MSR;TR;Airport;Mus;+03:00;Europe/Istanbul;38.7478;41.6611;Europe
MUC;MUC;DE;Airport;Munich;+01:00;Europe/Berlin;48.3539;11.7861;Europe
MXP;MIL;IT;Airport;Milan Malpensa;+01:00;Europe/Rome;45.63;8.7231;Europe
MZH;MZH;TR;Airport;Amasya Merzifon;+03:00;Europe/Istanbul;40.8286;35.5203;Europe
NAP;NAP;IT;Airport;Naples;+01:00;Europe/Rome;40.8844;14.2908;Europe
NAV;NAV;TR;Airport;Nevsehir Kapadokya;+03:00;Europe/Istanbul;38.7719;34.5344;Europe
NCE;NCE;FR;Airport;Nice;+01:00;Europe/Paris;43.6653;7.215;Europe
NCL;NCL;GB;Airport;Newcastle;+00:00;Europe/London;55.0375;-1.6917;Europe
NKT;NKT;TR;Airport;Sirnak;+03:00;Europe/Istanbul;37.3636;42.0619;Europe
NOP;NOP;TR;Airport;Sinop;+03:00;Europe/Istanbul;42.0214;35.0775;Europe
NQY;NQY;GB;Airport;Newquay;+00:00;Europe/London;50.4433;-5.0017;Europe
NTE;NTE;FR;Airport;Nantes;+01:00;Europe/Paris;47.1569;-1.6078;Europe
NUE;NUE;DE;Airport;Nuremberg;+01:00;Europe/Berlin;49.4986;11.0669;Europe
ODS;ODS;UA;Airport;Odessa;+02:00;Europe/Zaporozhye;46.4267;30.6764;Europe
OGZ;OGZ;RU;Airport;Vladikavkaz;+03:00;Europe/Moscow;43.205;44.6067;Europe
OHD;OHD;MK;Airport;Ohrid;+01:00;Europe/Skopje;41.18;20.7422;Europe
OLB;OLB;IT;Airport;Olbia;+01:00;Europe/Rome;40.8986;9.5178;Europe
OPO;OPO;PT;Airport;Porto;+00:00;Europe/Lisbon;41.2356;-8.6781;Europe
ORB;ORB;SE;Airport;Orebro;+01:00;Europe/Stockholm;59.2236;15.0381;Europe
ORK;ORK;IE;Airport;Cork;+00:00;Europe/Dublin;51.8414;-8.4911;Europe
ORY;PAR;FR;Airport;Paris Orly;+01:00;Europe/Paris;48.7233;2.3794;Europe
OSD;OSD;SE;Airport;Ostersund;+01:00;Europe/Stockholm;63.1944;14.5003;Europe
OSL;OSL;NO;Airport;Oslo;+01:00;Europe/Oslo;60.1939;11.1003;Europe
OSY;OSY;NO;Airport;Namsos;+01:00;Europe/Oslo;64.4717;11.5706;Europe
OTP;BUH;RO;Airport;Bucharest;+02:00;Europe/Bucharest;44.5722;26.1022;Europe
OUL;OUL;FI;Airport;Oulu;+02:00;Europe/Helsinki;64.93;25.3544;Europe
OVD;OVD;ES;Airport;Asturias;+01:00;Europe/Madrid;43.5636;-6.0347;Europe
OZH;OZH;UA;Airport;Zaporozhye;+02:00;Europe/Zaporozhye;47.8669;35.3156;Europe
PAD;PAD;DE;Airport;Paderborn/Lippstadt;+01:00;Europe/Berlin;51.6142;8.6164;Europe
PAS;PAS;GR;Airport;Paros;+02:00;Europe/Athens;37.0103;25.1286;Europe
PEG;PEG;IT;Airport;Perugia;+01:00;Europe/Rome;43.0972;12.5103;Europe
PMI;PMI;ES;Airport;Palma De Mallorca;+01:00;Europe/Madrid;39.5517;2.7389;Europe
PMO;PMO;IT;Airport;Palermo;+01:00;Europe/Rome;38.1819;13.0994;Europe
PNA;PNA;ES;Airport;Pamplona;+01:00;Europe/Madrid;42.77;-1.6464;Europe
POZ;POZ;PL;Airport;Poznan;+01:00;Europe/Warsaw;52.4211;16.8264;Europe
PSA;PSA;IT;Airport;Pisa;+01:00;Europe/Rome;43.6828;10.3956;Europe
PUY;PUY;HR;Airport;Pula;+01:00;Europe/Zagreb;44.8936;13.9222;Europe
PVK;PVK;GR;Airport;Preveza/Lefkas;+02:00;Europe/Athens;38.9256;20.7653;Europe
PXO;PXO;PT;Airport;Porto Santo;+00:00;Europe/Lisbon;33.0708;-16.3497;Europe
QDL;LUG;CH;Rail Station;Lugano Railway Station;+01:00;Europe/Zurich;46.0053;8.9467;Europe
QDU;DUS;DE;Rail Station;Dusseldorf Main Rail Station;+01:00;Europe/Berlin;51.2203;6.7931;Europe
QFB;QFB;DE;Rail Station;Freiburg Rail Station;+01:00;Europe/Berlin;47.9978;7.8422;Europe
QFZ;SCN;DE;Rail Station;Saarbruecken;+01:00;Europe/Berlin;49.2408;6.9908;Europe
QKL;CGN;DE;Rail Station;Cologne central station;+01:00;Europe/Berlin;50.9433;6.9583;Europe
QKU;CGN;DE;Rail Station;Cologne Deutz Rail Station;+01:00;Europe/Berlin;50.9406;6.9744;Europe
QLJ;QLJ;CH;Rail Station;Lucerne Rail Station;+01:00;Europe/Zurich;47.0494;8.3106;Europe
QLS;QLS;CH;Rail Station;Lausanne Rail Station;+01:00;Europe/Zurich;46.5172;6.6292;Europe
QPP;BER;DE;Rail Station;Berlin Hbf Rail Station;+01:00;Europe/Berlin;52.525;13.3694;Europe
QUL;QUL;DE;Rail Station;Ulm Rail Station;+01:00;Europe/Berlin;48.3997;9.9833;Europe
QWU;QWU;DE;Rail Station;Wuerzburg Rail Station;+01:00;Europe/Berlin;49.7886;9.9364;Europe
RHO;RHO;GR;Airport;Rhodes;+02:00;Europe/Athens;36.4056;28.0861;Europe
RIX;RIX;LV;Airport;Riga;+02:00;Europe/Riga;56.9236;23.9711;Europe
