FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
2A3526;FRA;2023-05-19;20:23;2023-05-19;20:45;Station;T07;DP;Flight Departed;2A;3526;TRN;2023-05-19;21:56;;;LD;Flight Landed;LD;Flight Landed
LH894;FRA;2023-05-19;20:30;2023-05-19;20:44;1;A24;DP;Flight Departed;LH;894;32N;2023-05-19;22:27;;;LD;Flight Landed;LD;Flight Landed
LH1352;FRA;2023-05-19;20:30;2023-05-19;21:20;1;A36;DP;Flight Departed;LH;1352;32A;2023-05-19;22:52;;;LD;Flight Landed;LD;Flight Landed
2A3486;FRA;2023-05-19;20:35;2023-05-19;21:13;Station;T04;DP;Flight Departed;2A;3486;TRN;2023-05-19;23:10;;;LD;Flight Landed;LD;Flight Landed
LH336;FRA;2023-05-19;20:40;2023-05-19;20:49;1;A26;DP;Flight Departed;LH;336;32M;2023-05-19;23:07;;;LD;Flight Landed;LD;Flight Landed
LH1090;FRA;2023-05-19;20:40;2023-05-19;20:57;1;B05;DP;Flight Departed;LH;1090;32A;2023-05-19;22:26;1A;;LD;Flight Landed;LD;Flight Landed
LH1146;FRA;2023-05-19;20:40;2023-05-19;20:45;1;A28;DP;Flight Departed;LH;1146;319;2023-05-19;22:49;;;LD;Flight Landed;LD;Flight Landed
LH1454;FRA;2023-05-19;20:40;2023-05-19;20:38;1;B20;DP;Flight Departed;LH;1454;32N;2023-05-19;22:45;;;LD;Flight Landed;LD;Flight Landed
2A3498;FRA;2023-05-19;20:41;2023-05-19;20:49;Station;T07;DP;Flight Departed;2A;3498;TRN;2023-05-19;22:13;;;LD;Flight Landed;LD;Flight Landed
EN8046;FRA;2023-05-19;20:50;2023-05-19;21:30;1;B04;DP;Flight Departed;EN;8046;E90;2023-05-19;22:37;;;LD;Flight Landed;LD;Flight Landed
EN8850;FRA;2023-05-19;20:50;2023-05-19;21:56;1;B08;DP;Flight Departed;EN;8850;E90;2023-05-19;23:15;;;LD;Flight Landed;LD;Flight Landed
LH796;FRA;2023-05-19;20:50;2023-05-19;21:02;1;Z22;DP;Flight Departed;LH;796;346;2023-05-20;16:05;1;;LD;Flight Landed;LD;Flight Landed
LH1068;FRA;2023-05-19;20:50;2023-05-19;20:51;1;A14;DP;Flight Departed;LH;1068;319;2023-05-19;22:20;1;;LD;Flight Landed;LD;Flight Landed
LH1082;FRA;2023-05-19;20:50;2023-05-19;21:11;1;A30;DP;Flight Departed;LH;1082;32A;2023-05-19;22:28;1;;LD;Flight Landed;LD;Flight Landed
