FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LX345;LHR;2023-05-17;06:00;2023-05-17;06:06;2;B47;DP;Flight Departed;ZRH;2023-05-17;08:40;2023-05-17;08:44;;;LD;Flight Landed;LX;345;32N;LD;Flight Landed
OS458;LHR;2023-05-17;06:00;2023-05-17;06:01;2;B47;DP;Flight Departed;VIE;2023-05-17;09:10;2023-05-17;09:17;3;G04A;LD;Flight Landed;OS;458;320;LD;Flight Landed
LH921;LHR;2023-05-17;06:30;2023-05-17;06:48;2;B37;DP;Flight Departed;FRA;2023-05-17;09:05;2023-05-17;09:15;1;Area A;LD;Flight Landed;LH;921;32N;LD;Flight Landed
SN2104;LHR;2023-05-17;06:50;2023-05-17;06:56;2;;DP;Flight Departed;BRU;2023-05-17;08:50;2023-05-17;08:56;;;LD;Flight Landed;SN;2104;320;LD;Flight Landed
LH2483;LHR;2023-05-17;06:55;2023-05-17;06:50;2;A25;DP;Flight Departed;MUC;2023-05-17;09:45;2023-05-17;09:28;2;T02N;LD;Flight Landed;LH;2483;32N;LD;Flight Landed
LX359;LHR;2023-05-17;07:00;2023-05-17;07:03;2;A19;DP;Flight Departed;GVA;2023-05-17;09:35;2023-05-17;09:54;1;;LD;Flight Landed;LX;359;223;LD;Flight Landed
LH2485;LHR;2023-05-17;07:25;2023-05-17;07:23;2;A18;DP;Flight Departed;MUC;2023-05-17;10:15;2023-05-17;10:06;2;H30;LD;Flight Landed;LH;2485;32N;LD;Flight Landed
BT9469;LHR;2023-05-17;08:05;2023-05-17;08:04;2;;DP;Flight Departed;DUS;2023-05-17;10:25;2023-05-17;10:23;;A80;LD;Flight Landed;BT;9469;223;LD;Flight Landed
LH925;LHR;2023-05-17;08:30;2023-05-17;08:33;2;A19;DP;Flight Departed;FRA;2023-05-17;11:05;2023-05-17;10:54;1;B47;LD;Flight Landed;LH;925;32N;LD;Flight Landed
LX317;LHR;2023-05-17;08:40;2023-05-17;08:53;2;A17;DP;Flight Departed;ZRH;2023-05-17;11:35;2023-05-17;11:21;;;LD;Flight Landed;LX;317;32Q;LD;Flight Landed
EW7465;LHR;2023-05-17;08:45;2023-05-17;08:47;2;;DP;Flight Departed;HAM;2023-05-17;11:15;2023-05-17;11:24;1;;LD;Flight Landed;EW;7465;31D;LD;Flight Landed
EW461;LHR;2023-05-17;08:50;2023-05-17;09:03;2;;DP;Flight Departed;CGN;2023-05-17;11:10;2023-05-17;11:15;1;D10;LD;Flight Landed;EW;461;320;LD;Flight Landed
LX353;LHR;2023-05-17;08:55;2023-05-17;08:58;2;A24;DP;Flight Departed;GVA;2023-05-17;11:30;2023-05-17;11:35;1;;LD;Flight Landed;LX;353;223;LD;Flight Landed
LH2471;LHR;2023-05-17;09:00;2023-05-17;09:09;2;A23;DP;Flight Departed;MUC;2023-05-17;11:50;2023-05-17;11:55;2;L05;LD;Flight Landed;LH;2471;32N;LD;Flight Landed
OS452;LHR;2023-05-17;09:05;2023-05-17;09:21;2;A26;DP;Flight Departed;VIE;2023-05-17;12:20;2023-05-17;12:37;3;ARN;LD;Flight Landed;OS;452;32N;LD;Flight Landed
EW2463;LHR;2023-05-17;09:10;2023-05-17;09:05;2;;DP;Flight Departed;STR;2023-05-17;11:45;2023-05-17;11:44;1;;LD;Flight Landed;EW;2463;31D;LD;Flight Landed
LH901;LHR;2023-05-17;09:30;2023-05-17;09:47;2;A18;DP;Flight Departed;FRA;2023-05-17;12:05;2023-05-17;12:15;1;Z24;LD;Flight Landed;LH;901;32N;LD;Flight Landed
LH2473;LHR;2023-05-17;10:50;2023-05-17;10:52;2;A26;DP;Flight Departed;MUC;2023-05-17;13:40;2023-05-17;13:44;2;L06;LD;Flight Landed;LH;2473;32N;LD;Flight Landed
SN2094;LHR;2023-05-17;11:05;2023-05-17;11:43;2;;DP;Flight Departed;BRU;2023-05-17;13:10;2023-05-17;13:43;;;LD;Flight Landed;SN;2094;320;LD;Flight Landed
LH905;LHR;2023-05-17;11:30;2023-05-17;12:18;2;A24;DP;Flight Departed;FRA;2023-05-17;14:05;2023-05-17;14:48;1;B22;LD;Flight Landed;LH;905;32N;LD;Flight Landed
BT319;LHR;2023-05-17;12:05;2023-05-17;12:57;2;A26;DP;Flight Departed;ZRH;2023-05-17;14:45;2023-05-17;15:41;;;LD;Flight Landed;BT;319;223;LD;Flight Landed
BT9467;LHR;2023-05-17;12:10;2023-05-17;12:09;2;;DP;Flight Departed;DUS;2023-05-17;14:30;2023-05-17;14:29;;A90;LD;Flight Landed;BT;9467;223;LD;Flight Landed
LH907;LHR;2023-05-17;13:30;2023-05-17;14:56;2;A17;DP;Flight Departed;FRA;2023-05-17;16:05;2023-05-17;17:16;1;Area A;LD;Flight Landed;LH;907;32N;LD;Flight Landed
LX333;LHR;2023-05-17;13:45;2023-05-17;14:16;2;A16;DP;Flight Departed;ZRH;2023-05-17;16:30;2023-05-17;16:55;;;LD;Flight Landed;LX;333;32N;LD;Flight Landed
LX355;LHR;2023-05-17;14:25;2023-05-17;14:47;2;A26;DP;Flight Departed;GVA;2023-05-17;17:05;2023-05-17;17:43;1;;LD;Flight Landed;LX;355;221;LD;Flight Landed
EW2461;LHR;2023-05-17;14:35;2023-05-17;14:41;2;;DP;Flight Departed;STR;2023-05-17;17:10;2023-05-17;17:13;1;;LD;Flight Landed;EW;2461;31D;LD;Flight Landed
EW465;LHR;2023-05-17;14:45;2023-05-17;14:47;2;;DP;Flight Departed;CGN;2023-05-17;17:05;2023-05-17;17:07;1;D99;LD;Flight Landed;EW;465;31D;LD;Flight Landed
EW7463;LHR;2023-05-17;14:50;2023-05-17;14:52;2;;DP;Flight Departed;HAM;2023-05-17;17:20;2023-05-17;17:29;1;;LD;Flight Landed;EW;7463;31D;LD;Flight Landed
OS462;LHR;2023-05-17;15:05;2023-05-17;15:20;2;A23;DP;Flight Departed;VIE;2023-05-17;18:20;2023-05-17;18:41;3;G11A;LD;Flight Landed;OS;462;32N;LD;Flight Landed
LH909;LHR;2023-05-17;15:30;2023-05-17;16:14;2;A19;DP;Flight Departed;FRA;2023-05-17;18:05;2023-05-17;18:39;1;B22;LD;Flight Landed;LH;909;32N;LD;Flight Landed
LH2477;LHR;2023-05-17;16:25;2023-05-17;16:41;2;A16;DP;Flight Departed;MUC;2023-05-17;19:15;2023-05-17;19:25;2;L03;LD;Flight Landed;LH;2477;32N;LD;Flight Landed
LX325;LHR;2023-05-17;17:10;2023-05-17;17:37;2;A18;DP;Flight Departed;ZRH;2023-05-17;19:55;2023-05-17;20:13;;;LD;Flight Landed;LX;325;32N;LD;Flight Landed
LX349;LHR;2023-05-17;17:15;2023-05-17;17:24;2;A18;DP;Flight Departed;GVA;2023-05-17;19:55;2023-05-17;20:18;1;;LD;Flight Landed;LX;349;223;LD;Flight Landed
LH915;LHR;2023-05-17;17:30;2023-05-17;17:40;2;A23;DP;Flight Departed;FRA;2023-05-17;20:05;2023-05-17;20:14;1;Z21;LD;Flight Landed;LH;915;32N;LD;Flight Landed
EW9465;LHR;2023-05-17;17:35;2023-05-17;17:37;2;;DP;Flight Departed;DUS;2023-05-17;19:55;2023-05-17;19:54;;A90;LD;Flight Landed;EW;9465;31B;LD;Flight Landed
LH2479;LHR;2023-05-17;17:50;2023-05-17;18:07;2;A17;DP;Flight Departed;MUC;2023-05-17;20:40;2023-05-17;20:46;2;H04;LD;Flight Landed;LH;2479;32N;LD;Flight Landed
SN2096;LHR;2023-05-17;17:50;2023-05-17;18:44;2;;DP;Flight Departed;BRU;2023-05-17;19:55;2023-05-17;20:47;;;LD;Flight Landed;SN;2096;320;LD;Flight Landed
LH917;LHR;2023-05-17;18:30;;;2;;NO;No Status;FRA;2023-05-17;21:05;;;1;B44;NO;No Status;LH;917;32N;CD;Flight Cancelled
LX327;LHR;2023-05-17;18:40;2023-05-17;19:21;2;A26;DP;Flight Departed;ZRH;2023-05-17;21:20;2023-05-17;22:03;;;LD;Flight Landed;LX;327;32N;LD;Flight Landed
EW2465;LHR;2023-05-17;19:00;2023-05-17;18:56;2;;DP;Flight Departed;STR;2023-05-17;21:35;2023-05-17;21:36;1;;LD;Flight Landed;EW;2465;31D;LD;Flight Landed
LX357;LHR;2023-05-17;19:15;2023-05-17;20:12;2;A18;DP;Flight Departed;GVA;2023-05-17;22:00;2023-05-17;22:43;1;;LD;Flight Landed;LX;357;223;LD;Flight Landed
EW7461;LHR;2023-05-17;19:25;2023-05-17;19:28;2;;DP;Flight Departed;HAM;2023-05-17;21:55;2023-05-17;21:56;1;;LD;Flight Landed;EW;7461;31D;LD;Flight Landed
