FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH490;FRA;2023-05-18;10:45;2023-05-18;11:00;1;Z50;DP;Flight Departed;SEA;2023-05-18;12:20;2023-05-18;12:19;;S15;LD;Flight Landed;LH;490;333;LD;Flight Landed
LH462;FRA;2023-05-18;10:50;2023-05-18;11:12;1;Z52;DP;Flight Departed;MIA;2023-05-18;14:40;2023-05-18;15:27;;J17;LD;Flight Landed;LH;462;74H;LD;Flight Landed
2A3410;FRA;2023-05-18;10:51;2023-05-18;11:04;Station;T05;DP;Flight Departed;ZWS;2023-05-18;12:08;2023-05-18;12:14;;;LD;Flight Landed;2A;3410;TRN;LD;Flight Landed
LH960;FRA;2023-05-18;10:55;2023-05-18;11:09;1;B24;DP;Flight Departed;GLA;2023-05-18;12:00;2023-05-18;12:05;M;;LD;Flight Landed;LH;960;32N;LD;Flight Landed
LH962;FRA;2023-05-18;10:55;2023-05-18;11:05;1;B33;DP;Flight Departed;EDI;2023-05-18;11:50;2023-05-18;11:50;;;LD;Flight Landed;LH;962;32M;LD;Flight Landed
LH400;FRA;2023-05-18;11:00;2023-05-18;11:15;1;Z54;DP;Flight Departed;JFK;2023-05-18;13:45;2023-05-18;13:42;1;007;LD;Flight Landed;LH;400;346;LD;Flight Landed
LH1130;FRA;2023-05-18;11:05;2023-05-18;11:22;1;A13;DP;Flight Departed;BCN;2023-05-18;13:05;2023-05-18;13:28;1;;LD;Flight Landed;LH;1130;32Q;LD;Flight Landed
LH1292;FRA;2023-05-18;11:05;2023-05-18;11:21;1;B54;DP;Flight Departed;PFO;2023-05-18;16:32;2023-05-18;16:41;;;LD;Flight Landed;LH;1292;32M;DV;Flight Diverted
2A3610;FRA;2023-05-18;11:07;2023-05-18;11:12;Station;T06;DP;Flight Departed;QKL;2023-05-18;12:05;2023-05-18;12:06;;;LD;Flight Landed;2A;3610;TRN;LD;Flight Landed
2A3648;FRA;2023-05-18;11:07;2023-05-18;11:12;Station;T06;DP;Flight Departed;MKF;2023-05-18;13:54;2023-05-18;14:05;;;LD;Flight Landed;2A;3648;TRN;LD;Flight Landed
LH856;FRA;2023-05-18;11:15;2023-05-18;11:28;1;A40;DP;Flight Departed;KEF;2023-05-18;12:55;2023-05-18;13:02;;;LD;Flight Landed;LH;856;32N;LD;Flight Landed
LH1142;FRA;2023-05-18;11:20;2023-05-18;11:32;1;A19;DP;Flight Departed;BIO;2023-05-18;13:30;2023-05-18;13:27;;;LD;Flight Landed;LH;1142;32A;LD;Flight Landed
2A3508;FRA;2023-05-18;11:21;2023-05-18;11:26;Station;T07;DP;Flight Departed;QDU;2023-05-18;12:39;2023-05-18;12:44;;;LD;Flight Landed;2A;3508;TRN;LD;Flight Landed
2A3550;FRA;2023-05-18;11:24;2023-05-18;11:24;Station;T05;DP;Flight Departed;ZWS;2023-05-18;12:38;2023-05-18;12:36;;;LD;Flight Landed;2A;3550;TRN;LD;Flight Landed
LH590;FRA;2023-05-18;11:25;2023-05-18;12:00;1;B61;DP;Flight Departed;NBO;2023-05-18;20:30;2023-05-18;21:24;;;LD;Flight Landed;LH;590;333;LD;Flight Landed
CL1010;FRA;2023-05-18;11:30;2023-05-18;11:54;1;A28;DP;Flight Departed;BRU;2023-05-18;12:25;2023-05-18;12:50;;;LD;Flight Landed;CL;1010;E90;LD;Flight Landed
2A3466;FRA;2023-05-18;11:34;2023-05-18;11:54;Station;T04;DP;Flight Departed;QWU;2023-05-18;13:01;2023-05-18;13:01;;;LD;Flight Landed;2A;3466;TRN;LD;Flight Landed
