,AirportCode,CityCode,CountryCode,LocationType,Names,UtcOffset,TimeZoneId,Latitude,Longitude
874,OUL,OUL,FI,Airport,Oulu,+02:00,Europe/Helsinki,64.93,25.3544
875,OVD,OVD,ES,Airport,Asturias,+01:00,Europe/Madrid,43.5636,-6.0347
876,OXR,OXR,US,Airport,Oxnard/Ventura Oxnard Apt,-08:00,America/Los_Angeles,34.2,-119.2
877,OZH,OZH,UA,Airport,Zaporozhye,+02:00,Europe/Zaporozhye,47.8669,35.3156
878,PAD,PAD,DE,Airport,Paderborn/Lippstadt,+01:00,Europe/Berlin,51.6142,8.6164
879,PAH,PAH,US,Airport,Paducah,-06:00,America/Chicago,37.0603,-88.7731
880,PAS,PAS,GR,Airport,Paros,+02:00,Europe/Athens,37.0103,25.1286
881,PAT,PAT,IN,Airport,Patna,+05:30,Asia/Kolkata,25.5914,85.0881
882,PBC,PBC,MX,Airport,Puebla,-06:00,America/Mexico_City,19.1581,-98.3714
883,PBI,PBI,US,Airport,West Palm Beach,-05:00,America/New_York,26.6831,-80.0956
884,PDL,PDL,PT,Airport,Ponta Delgada,-01:00,Atlantic/Azores,37.7411,-25.6978
885,PDP,PDP,UY,Airport,Punta Del Este Cap Curbelo,-03:00,America/Montevideo,-34.8569,-55.1008
886,PDX,PDX,US,Airport,Portland,-08:00,America/Los_Angeles,45.5886,-122.5975
887,PEE,PEE,RU,Airport,Perm,+05:00,Asia/Yekaterinburg,57.9144,56.0211
888,PEG,PEG,IT,Airport,Perugia,+01:00,Europe/Rome,43.0972,12.5103
889,PEI,PEI,CO,Airport,Pereira,-05:00,America/Bogota,4.8128,-75.7394
890,PEK,BJS,CN,Airport,Beijing,+08:00,Asia/Shanghai,40.08,116.5844
891,PEN,PEN,MY,Airport,Penang,+08:00,Asia/Kuching,5.2972,100.2767
892,PER,PER,AU,Airport,Perth,+08:00,Australia/Perth,-31.9403,115.9669
893,PFB,PFB,BR,Airport,Passo Fundo,-03:00,America/Araguaina,-28.2444,-52.3292
894,PFO,PFO,CY,Airport,Paphos,+02:00,Asia/Nicosia,34.7181,32.4858
895,PGA,PGA,US,Airport,Page,-07:00,America/Phoenix,36.9242,-111.4478
896,PGH,PGH,IN,Airport,Pantnagar,+05:30,Asia/Kolkata,29.0319,79.4736
897,PGV,PGV,US,Airport,Greenville,-05:00,America/New_York,35.6358,-77.3842
898,PHC,PHC,NG,Airport,Port Harcourt,+01:00,Africa/Lagos,5.0156,6.9497
899,PHF,PHF,US,Airport,Newport News,-05:00,America/New_York,37.1319,-76.4931
900,PHL,PHL,US,Airport,Philadelphia,-05:00,America/New_York,39.8719,-75.2411
901,PHW,PHW,ZA,Airport,Phalaborwa,+02:00,Africa/Johannesburg,-23.9369,31.1561
902,PHX,PHX,US,Airport,Phoenix,-07:00,America/Phoenix,33.4342,-112.0117
903,PIA,PIA,US,Airport,Peoria,-06:00,America/Chicago,40.6642,-89.6933
904,PIB,LUL,US,Airport,Laurel Hattiesburg,-06:00,America/Chicago,31.4672,-89.3369
905,PIR,PIR,US,Airport,Pierre,-06:00,America/Chicago,44.3828,-100.2858
906,PIT,PIT,US,Airport,Pittsburgh,-05:00,America/New_York,40.4914,-80.2328
907,PIU,PIU,PE,Airport,Piura G. Concha Iberico Intl,-05:00,America/Lima,-5.2058,-80.6164
908,PKB,PKB,US,Airport,Parkersburg Mid-Ohio Valley Regional,-05:00,America/New_York,39.345,-81.4392
909,PKU,PKU,ID,Airport,Pekanbaru,+07:00,Asia/Pontianak,0.4608,101.4444
910,PKX,BJS,CN,Airport,Beijing Daxing Intl.,+08:00,Asia/Shanghai,39.51,116.4111
911,PLM,PLM,ID,Airport,Palembang S M Badaruddin Ii,+07:00,Asia/Pontianak,-2.8983,104.7
912,PLZ,PLZ,ZA,Airport,Port Elizabeth,+02:00,Africa/Johannesburg,-33.985,25.6172
913,PMC,PMC,CL,Airport,Puerto Montt,-04:00,America/Santiago,-41.4389,-73.0939
914,PMI,PMI,ES,Airport,Palma De Mallorca,+01:00,Europe/Madrid,39.5517,2.7389
915,PMO,PMO,IT,Airport,Palermo,+01:00,Europe/Rome,38.1819,13.0994
916,PMR,PMR,NZ,Airport,Palmerston North,+12:00,Pacific/Auckland,-40.32,175.6136
917,PMV,PMV,VE,Airport,Porlamar,-04:00,America/Caracas,10.9131,-63.9675
918,PNA,PNA,ES,Airport,Pamplona,+01:00,Europe/Madrid,42.77,-1.6464
919,PNH,PNH,KH,Airport,Phnom Penh,+07:00,Asia/Phnom_Penh,11.5467,104.8442
920,PNI,PNI,FM,Airport,Pohnpei International,+11:00,Pacific/Pohnpei,6.9853,158.2089
921,PNQ,PNQ,IN,Airport,Pune,+05:30,Asia/Kolkata,18.5822,73.9197
922,PNR,PNR,CG,Airport,Pointe Noire,+01:00,Africa/Brazzaville,-4.8161,11.8867
923,PNS,PNS,US,Airport,Pensacola,-06:00,America/Chicago,30.4733,-87.1867
924,PNY,PNY,IN,Airport,Pondicherry,+05:30,Asia/Kolkata,11.9683,79.8114
925,POA,POA,BR,Airport,Porto Alegre,-03:00,America/Araguaina,-29.9944,-51.1714
926,POL,POL,MZ,Airport,Pemba,+02:00,Africa/Maputo,-12.9867,40.5225
927,POP,POP,DO,Airport,Puerto Plata,-04:00,America/Santo_Domingo,19.7578,-70.57
928,POZ,POZ,PL,Airport,Poznan,+01:00,Europe/Warsaw,52.4211,16.8264
929,PPN,PPN,CO,Airport,Popayan Guillermo L. Valencia,-05:00,America/Bogota,2.4544,-76.6094
930,PSA,PSA,IT,Airport,Pisa,+01:00,Europe/Rome,43.6828,10.3956
931,PSC,PSC,US,Airport,Pasco,-08:00,America/Los_Angeles,46.2667,-119.1167
932,PSG,PSG,US,Airport,Petersburg,-09:00,America/Anchorage,56.8022,-132.9436
933,PSO,PSO,CO,Airport,Pasto,-05:00,America/Bogota,1.3961,-77.2911
934,PSP,PSP,US,Airport,Palm Springs,-08:00,America/Los_Angeles,33.8297,-116.5067
935,PSS,PSS,AR,Airport,Posadas,-03:00,America/Argentina/Buenos_Aires,-27.3858,-55.9706
936,PTG,PTG,ZA,Airport,Polokwane,+02:00,Africa/Johannesburg,-23.8453,29.4586
937,PTP,PTP,GP,Airport,Pointe-A-Pitre,-04:00,America/Guadeloupe,16.2653,-61.5319
938,PTY,PTY,PA,Airport,Panama,-05:00,America/Panama,9.0714,-79.3833
939,PUJ,PUJ,DO,Airport,Punta Cana,-04:00,America/Santo_Domingo,18.5675,-68.3633
940,PUQ,PUQ,CL,Airport,Punta Arenas,-03:00,America/Santiago,-53.0028,-70.8547
941,PUS,PUS,KR,Airport,Busan,+09:00,Asia/Seoul,35.1767,128.9425
942,PUW,PUW,US,Airport,Pullman,-08:00,America/Los_Angeles,46.7436,-117.1111
943,PUY,PUY,HR,Airport,Pula,+01:00,Europe/Zagreb,44.8936,13.9222
944,PVC,PVC,US,Airport,Provincetown,-05:00,America/New_York,42.0728,-70.2203
945,PVD,PVD,US,Airport,Providence,-05:00,America/New_York,41.725,-71.4258
946,PVG,SHA,CN,Airport,Shanghai/Pudong,+08:00,Asia/Shanghai,31.1433,121.8053
947,PVH,PVH,BR,Airport,Porto Velho J. T. De Oliveira Intl,-04:00,America/Porto_Velho,-8.7092,-63.9022
948,PVK,PVK,GR,Airport,Preveza/Lefkas,+02:00,Europe/Athens,38.9256,20.7653
949,PVR,PVR,MX,Airport,Puerto Vallarta,-06:00,America/Mexico_City,20.68,-105.2542
950,PWM,PWM,US,Airport,Portland/Maine,-05:00,America/New_York,43.6461,-70.3092
951,PXO,PXO,PT,Airport,Porto Santo,+00:00,Europe/Lisbon,33.0708,-16.3497
952,PZB,PZB,ZA,Airport,Pietermaritzburg,+02:00,Africa/Johannesburg,-29.6489,30.3986
953,PZO,PZO,VE,Airport,Puerto Ordaz,-04:00,America/Caracas,8.2886,-62.7603
954,QDL,LUG,CH,Rail Station,Lugano Railway Station,+01:00,Europe/Zurich,46.0053,8.9467
955,QDU,DUS,DE,Rail Station,Dusseldorf Main Rail Station,+01:00,Europe/Berlin,51.2203,6.7931
956,QFB,QFB,DE,Rail Station,Freiburg Rail Station,+01:00,Europe/Berlin,47.9978,7.8422
957,QFZ,SCN,DE,Rail Station,Saarbruecken,+01:00,Europe/Berlin,49.2408,6.9908
958,QKL,CGN,DE,Rail Station,Cologne central station,+01:00,Europe/Berlin,50.9433,6.9583
959,QKU,CGN,DE,Rail Station,Cologne Deutz Rail Station,+01:00,Europe/Berlin,50.9406,6.9744
960,QLJ,QLJ,CH,Rail Station,Lucerne Rail Station,+01:00,Europe/Zurich,47.0494,8.3106
961,QLS,QLS,CH,Rail Station,Lausanne Rail Station,+01:00,Europe/Zurich,46.5172,6.6292
962,QPP,BER,DE,Rail Station,Berlin Hbf Rail Station,+01:00,Europe/Berlin,52.525,13.3694
