FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1437,MUC,2023-04-23T10:40,AGP,2023-04-23T13:40,,LH,1832,32Q,6,2023-04-22,2023-04-22
1438,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,6,2023-04-22,2023-05-06
1439,FRA,2023-04-22T14:50,ALC,2023-04-22T17:20,,LH,1174,32N,6,2023-04-22,2023-05-06
1440,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,6,2023-04-22,2023-05-06
1441,MUC,2023-04-22T14:40,ALC,2023-04-22T17:20,,LH,1848,32A,6,2023-04-22,2023-04-22
1442,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,6,2023-04-22,2023-04-29
1443,FRA,2023-04-22T12:15,MUC,2023-04-22T13:10,2,LH,104,319,6,2023-04-22,2023-04-29
1444,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,6,2023-04-22,2023-04-29
1445,FRA,2023-04-22T08:50,ZRH,2023-04-22T09:45,,LH,5736,223,6,2023-04-22,2023-04-22
1446,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,126,2023-04-22,2023-04-29
1447,FRA,2023-04-22T09:45,MAD,2023-04-22T12:15,2,LH,1112,32N,126,2023-04-22,2023-04-29
1448,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,67,2023-04-22,2023-04-23
1449,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,67,2023-04-22,2023-04-23
1450,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,36,2023-04-22,2023-04-26
1451,FRA,2023-04-22T21:00,AMS,2023-04-22T22:10,,LH,1002,321,36,2023-04-22,2023-04-26
1452,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,36,2023-04-22,2023-04-26
1453,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,356,2023-04-22,2023-04-28
1454,FRA,2023-04-22T08:15,MUC,2023-04-22T09:10,2,LH,96,319,356,2023-04-22,2023-04-28
1455,MUC,2023-04-22T13:25,AMS,2023-04-22T14:55,,LH,2304,CR9,356,2023-04-22,2023-04-28
1456,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,1234567,2023-04-22,2023-04-29
1457,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,1234567,2023-04-22,2023-04-29
1458,MUC,2023-04-22T13:25,AMS,2023-04-22T14:55,,LH,2304,CR9,1234567,2023-04-22,2023-04-29
1459,FRA,2023-04-22T13:15,MUC,2023-04-22T14:10,2,LH,106,320,67,2023-04-22,2023-04-23
1460,MUC,2023-04-22T15:05,AMS,2023-04-22T16:35,,LH,2306,319,67,2023-04-22,2023-04-23
1461,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,67,2023-04-22,2023-04-29
1462,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,67,2023-04-22,2023-04-29
1463,MUC,2023-04-22T15:05,AMS,2023-04-22T16:35,,LH,2306,319,67,2023-04-22,2023-04-29
1464,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,167,2023-04-22,2023-04-29
1465,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,167,2023-04-22,2023-04-29
1466,MUC,2023-04-23T14:45,AOI,2023-04-23T15:50,,LH,1896,CR9,6,2023-04-22,2023-04-22
1467,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,2467,2023-04-22,2023-04-29
1468,FRA,2023-04-22T18:30,ATH,2023-04-22T22:10,,LH,5914,32Q,2467,2023-04-22,2023-04-29
1469,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,2467,2023-04-22,2023-04-30
1470,FRA,2023-04-22T18:30,ATH,2023-04-22T22:10,,LH,5914,32Q,2467,2023-04-22,2023-04-30
1471,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,2467,2023-04-22,2023-04-29
1472,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,2467,2023-04-22,2023-04-29
1473,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,46,2023-04-22,2023-04-29
1474,FRA,2023-04-22T10:25,ARN,2023-04-22T12:30,5,LH,802,32N,6,2023-04-22,2023-04-29
1475,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,36,2023-04-22,2023-04-26
1476,FRA,2023-04-22T19:25,ARN,2023-04-22T21:30,5,LH,844,319,36,2023-04-22,2023-04-26
1477,FRA,2023-04-22T21:50,ARN,2023-04-22T23:55,5,LH,808,319,56,2023-04-22,2023-04-28
1478,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,36,2023-04-22,2023-04-26
1479,FRA,2023-04-22T13:45,ATH,2023-04-22T17:30,,LH,1282,321,6,2023-04-22,2023-04-29
1480,FRA,2023-04-22T17:20,ATH,2023-04-22T21:05,,LH,1284,32Q,36,2023-04-22,2023-04-26
1481,FRA,2023-04-22T18:30,ATH,2023-04-22T22:10,,LH,5914,32Q,1234567,2023-04-22,2023-04-29
1482,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,1234567,2023-04-22,2023-05-01
1483,FRA,2023-04-22T18:30,ATH,2023-04-22T22:10,,LH,5914,32Q,1234567,2023-04-22,2023-05-01
1484,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,1234567,2023-04-22,2023-04-29
1485,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,23456,2023-04-22,2023-04-29
1486,FRA,2023-04-22T09:55,BRE,2023-04-22T10:50,,LH,352,E90,23456,2023-04-22,2023-04-29
1487,FRA,2023-04-22T13:05,BRE,2023-04-22T14:00,,LH,354,CR9,6,2023-04-22,2023-04-22
1488,FRA,2023-04-22T16:55,BRE,2023-04-22T17:50,,LH,356,CR9,67,2023-04-22,2023-04-23
1489,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,1234567,2023-04-22,2023-04-29
1490,FRA,2023-04-23T06:50,BRE,2023-04-23T07:45,,LH,350,CR9,1234567,2023-04-22,2023-04-29
1491,MUC,2023-04-22T11:50,BRE,2023-04-22T13:00,,LH,2192,319,6,2023-04-22,2023-04-22
1492,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,167,2023-04-22,2023-04-24
1493,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,167,2023-04-22,2023-04-24
