FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1609,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,6,2023-04-22,2023-10-21
1610,ZAG,2023-04-22T13:40,DBV,2023-04-22T14:40,,LH,5972,DH4,6,2023-04-22,2023-04-22
1611,MUC,2023-04-22T14:30,DBV,2023-04-22T15:55,,LH,1710,32A,36,2023-04-22,2023-04-26
1612,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,2346,2023-04-22,2023-04-29
1613,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,2346,2023-04-22,2023-04-29
1614,MUC,2023-04-22T14:30,DBV,2023-04-22T15:55,,LH,1710,32A,2346,2023-04-22,2023-04-29
1615,FRA,2023-04-22T12:35,ZAG,2023-04-22T14:00,,LH,1414,319,6,2023-04-22,2023-04-29
1616,ZAG,2023-04-22T18:00,DBV,2023-04-22T19:00,,LH,5964,DH4,6,2023-04-22,2023-04-29
1617,ZAG,2023-04-22T18:00,DBV,2023-04-22T19:00,,LH,5964,DH4,6,2023-04-22,2023-04-22
1618,FRA,2023-04-22T15:55,ZAG,2023-04-22T17:15,,LH,6006,319,6,2023-04-22,2023-04-29
1619,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,26,2023-04-22,2023-04-25
1620,FRA,2023-04-22T21:15,MUC,2023-04-22T22:10,2,LH,122,321,26,2023-04-22,2023-04-25
